LOCATION,TIME,Value
DEU,1997-01,1.9
DEU,1997-02,1.6
DEU,1997-03,1.3
DEU,1997-04,1.2
DEU,1997-05,1.5
DEU,1997-06,1.5
DEU,1997-07,1.6
DEU,1997-08,1.7
DEU,1997-09,1.4
DEU,1997-10,1.5
DEU,1997-11,1.6
DEU,1997-12,1.4
DEU,1998-01,0.7
DEU,1998-02,0.5
DEU,1998-03,0.5
DEU,1998-04,0.9
DEU,1998-05,0.9
DEU,1998-06,0.8
DEU,1998-07,0.8
DEU,1998-08,0.6
DEU,1998-09,0.5
DEU,1998-10,0.4
DEU,1998-11,0.4
DEU,1998-12,0.1
DEU,1999-01,0.3
DEU,1999-02,0.1
DEU,1999-03,0.5
DEU,1999-04,0.8
DEU,1999-05,0.4
DEU,1999-06,0.4
DEU,1999-07,0.5
DEU,1999-08,0.6
DEU,1999-09,0.8
DEU,1999-10,0.9
DEU,1999-11,1
DEU,1999-12,1.4
DEU,2000-01,1.7
DEU,2000-02,1.7
DEU,2000-03,1.4
DEU,2000-04,1
DEU,2000-05,0.8
DEU,2000-06,1.4
DEU,2000-07,1.3
DEU,2000-08,1
DEU,2000-09,1.5
DEU,2000-10,1.5
DEU,2000-11,1.4
DEU,2000-12,2.2
DEU,2001-01,1.3
DEU,2001-02,1.8
DEU,2001-03,1.8
DEU,2001-04,2.2
DEU,2001-05,2.9
DEU,2001-06,2.4
DEU,2001-07,2.1
DEU,2001-08,2.2
DEU,2001-09,1.8
DEU,2001-10,1.6
DEU,2001-11,1.4
DEU,2001-12,1.4
DEU,2002-01,2
DEU,2002-02,1.8
DEU,2002-03,1.9
DEU,2002-04,1.5
DEU,2002-05,1.1
DEU,2002-06,0.9
DEU,2002-07,1.1
DEU,2002-08,1.1
DEU,2002-09,1.1
DEU,2002-10,1.2
DEU,2002-11,1.1
DEU,2002-12,1.1
DEU,2003-01,1.1
DEU,2003-02,1.2
DEU,2003-03,1.2
DEU,2003-04,1
DEU,2003-05,0.6
DEU,2003-06,1
DEU,2003-07,0.9
DEU,2003-08,1.1
DEU,2003-09,1.1
DEU,2003-10,1.2
DEU,2003-11,1.4
DEU,2003-12,1.1
DEU,2004-01,1.1
DEU,2004-02,0.8
DEU,2004-03,1.1
DEU,2004-04,1.7
DEU,2004-05,2.2
DEU,2004-06,1.9
DEU,2004-07,1.9
DEU,2004-08,2.2
DEU,2004-09,1.9
DEU,2004-10,2.2
DEU,2004-11,1.9
DEU,2004-12,2.3
DEU,2005-01,1.7
DEU,2005-02,1.8
DEU,2005-03,1.8
DEU,2005-04,1.4
DEU,2005-05,1.5
DEU,2005-06,1.7
DEU,2005-07,1.9
DEU,2005-08,1.9
DEU,2005-09,2.6
DEU,2005-10,2.4
DEU,2005-11,2.3
DEU,2005-12,2.1
DEU,2006-01,2.1
DEU,2006-02,2.1
DEU,2006-03,1.9
DEU,2006-04,2.2
DEU,2006-05,2.1
DEU,2006-06,2.1
DEU,2006-07,2.1
DEU,2006-08,1.7
DEU,2006-09,0.9
DEU,2006-10,1
DEU,2006-11,1.5
DEU,2006-12,1.4
DEU,2007-01,1.7
DEU,2007-02,1.9
DEU,2007-03,2
DEU,2007-04,2.1
DEU,2007-05,2
DEU,2007-06,2
DEU,2007-07,2.1
DEU,2007-08,1.9
DEU,2007-09,2.6
DEU,2007-10,2.6
DEU,2007-11,3.3
DEU,2007-12,3.1
DEU,2008-01,3
DEU,2008-02,3
DEU,2008-03,3.3
DEU,2008-04,2.6
DEU,2008-05,3.2
DEU,2008-06,3.4
DEU,2008-07,3.4
DEU,2008-08,3.3
DEU,2008-09,3
DEU,2008-10,2.6
DEU,2008-11,1.4
DEU,2008-12,1.1
DEU,2009-01,1
DEU,2009-02,1.1
DEU,2009-03,0.3
DEU,2009-04,0.7
DEU,2009-05,-0.1
DEU,2009-06,0
DEU,2009-07,-0.7
DEU,2009-08,0
DEU,2009-09,-0.4
DEU,2009-10,-0.1
DEU,2009-11,0.3
DEU,2009-12,0.9
DEU,2010-01,0.7
DEU,2010-02,0.4
DEU,2010-03,1.2
DEU,2010-04,1
DEU,2010-05,1.2
DEU,2010-06,0.9
DEU,2010-07,1.2
DEU,2010-08,1
DEU,2010-09,1.2
DEU,2010-10,1.3
DEU,2010-11,1.5
DEU,2010-12,1.8
DEU,2011-01,2
DEU,2011-02,2.3
DEU,2011-03,2.4
DEU,2011-04,2.7
DEU,2011-05,2.5
DEU,2011-06,2.4
DEU,2011-07,2.6
DEU,2011-08,2.5
DEU,2011-09,2.8
DEU,2011-10,2.8
DEU,2011-11,2.7
DEU,2011-12,2.2
DEU,2012-01,2.4
DEU,2012-02,2.6
DEU,2012-03,2.3
DEU,2012-04,2.2
DEU,2012-05,2.1
DEU,2012-06,1.9
DEU,2012-07,1.9
DEU,2012-08,2.3
DEU,2012-09,2.2
DEU,2012-10,2.1
DEU,2012-11,1.9
DEU,2012-12,2.1
DEU,2013-01,1.9
DEU,2013-02,1.8
DEU,2013-03,1.9
DEU,2013-04,1.1
DEU,2013-05,1.5
DEU,2013-06,2
DEU,2013-07,2
DEU,2013-08,1.5
DEU,2013-09,1.5
DEU,2013-10,1.2
DEU,2013-11,1.6
DEU,2013-12,1.2
DEU,2014-01,1.1
DEU,2014-02,1
DEU,2014-03,0.7
DEU,2014-04,1.1
DEU,2014-05,0.7
DEU,2014-06,0.9
DEU,2014-07,0.7
DEU,2014-08,0.8
DEU,2014-09,0.8
DEU,2014-10,0.7
DEU,2014-11,0.5
DEU,2014-12,0.1
DEU,2015-01,-0.5
DEU,2015-02,-0.2
DEU,2015-03,0.3
DEU,2015-04,1
DEU,2015-05,1.6
DEU,2015-06,1.1
DEU,2015-07,1.3
DEU,2015-08,1.1
DEU,2015-09,0.8
DEU,2015-10,1.2
DEU,2015-11,0.2
DEU,2015-12,0.2
DEU,2016-01,0.4
DEU,2016-02,-0.1
DEU,2016-03,0.1
DEU,2016-04,-0.3
DEU,2016-05,-0.1
DEU,2016-06,0.1
DEU,2016-07,0.3
DEU,2016-08,0.3
DEU,2016-09,0.6
DEU,2016-10,0.7
DEU,2016-11,0.8
DEU,2016-12,1.6
DEU,2017-01,1.7
DEU,2017-02,2.1
