Title,CDID,CPIH division weights
CPIH WEIGHTS 01 : FOOD AND NON-ALCOHOLIC BEVERAGES,L5CZ,1
"CPIH WEIGHTS 02 : ALCOHOLIC DRINKS, TOBACCO AND NARCOTICS",L5D2,1
CPIH WEIGHTS 03 : CLOTHING AND FOOTWEAR,L5D3,1
"CPIH WEIGHTS 04 : HOUSING, WATER AND FUELS",L5D4,1
"CPIH WEIGHTS 05 : FURNITURE, HOUSEHOLD EQUIPMENT AND MAINTENANCE",L5D5,1
CPIH WEIGHTS 06 : HEALTH,L5D6,1
CPIH WEIGHTS 07 : TRANSPORT,L5D7,1
CPIH WEIGHTS 08 : COMMUNICATION,L5D8,1
CPIH WEIGHTS 09 : RECREATION & CULTURE,L5D9,1
CPIH WEIGHTS 10 : EDUCATION,L5DA,1
"CPIH WEIGHTS 11 : HOTELS, CAFES AND RESTAURANTS",L5DB,1
CPIH WEIGHTS 12 : MISCELLANEOUS GOODS AND SERVICES,L5DC,1
CPIH WEIGHTS: Goods,L5DD,1
CPIH WEIGHTS: Services,L5DE,1
% Effect of indirect tax changes on 12-month rate: Difference between CPI and CPI-CT rates of change: All goods,EAF5,
% Effect of indirect tax changes on 12-month rate: Difference between CPI and CPI-CT rates of change: All items,EAF4,
% Effect of indirect tax changes on 12-month rate: Difference between CPI and CPI-CT rates of change: All services,EAF6,
% Effect of indirect tax changes on 12-month rate: Difference between CPI and CPI-CT rates of change: Energy,EAF9,
% Effect of indirect tax changes on 1-month rate: Difference between CPI and CPI-CT rates of change: All goods,EAG4,
% Effect of indirect tax changes on 1-month rate: Difference between CPI and CPI-CT rates of change: All items,EAG3,
% Effect of indirect tax changes on 1-month rate: Difference between CPI and CPI-CT rates of change: All services,EAG5,
% Effect of indirect tax changes on 1-month rate: Difference between CPI and CPI-CT rates of change: Energy,EAG8,
"ANNUAL RATE 07.2.4.1 Hire of garages, parking spaces and personal transport equipment 2015=100",L7R8,
"ANNUAL RATE 07.2.4.3 Driving lessons, test licences and road worthiness tests 2015=100",L7RE,
ANNUAL RATE 07.3.2/6 : PASSENGER TRANSPORT BY ROAD AND OTHER TRANSPORT SERVICES 2015=100,D7IS,
ANNUAL RATE 09.2.1/2/3 : Major durables for in/outdoor recreation & their maintenance 2015=100,D7NV,
CPI 12mth: Audio-visual goods (G) 2015=100,DKM7,
CPI 12mth: Clothing & footwear goods (G) 2015=100,DKL8,
CPI 12mth: Durables (G) 2015=100,DKK4,
"CPI 12mth: Education, health and social protection (SP) 2015=100",DKQ3,
"CPI 12mth: Electricity, gas & misc. energy (G) 2015=100",DKL6,
CPI 12mth: Energy (G) 2015=100,DKL5,
CPI 12mth: Energy and seasonal food (SP) 2015=100,DKQ2,
CPI 12mth: Energy and unprocessed food (SP) 2015=100,DKP9,
"CPI 12mth: Energy, food, alcohol and tobacco (SP) 2015=100",DKP8,
"CPI 12mth: Excl education, health & social protection (SP) 2015=100",DKP7,
"CPI 12mth: Excl housing, water, elec., gas & other fuels (SP) 2015=100",DKP6,
"CPI 12mth: Excl liquid fuels, vehicle fuels & lubricants (SP) 2015=100",DKP5,
CPI 12mth: Excluding alcohol & tobacco (SP) 2015=100,DKP4,
CPI 12mth: Excluding energy & seasonal food (SP) 2015=100,DKP3,
CPI 12mth: Excluding energy & unprocessed food (SP) 2015=100,DKO9,
CPI 12mth: Excluding energy (SP) 2015=100,DKO7,
"CPI 12mth: Excluding Energy, food, alcoholic beverages & tobacco 2015=100",DKO8,
CPI 12mth: Excluding seasonal food (SP) 2015=100,DKP2,
