dotNumber,x,y,random
1,0,1,28
2,1,1,5
3,2,1,3
4,3,1,20
5,4,1,8
6,5,1,1
7,6,1,14
8,7,1,24
9,8,1,0
10,9,1,29
11,0,2,28
12,1,2,26
13,2,2,17
14,3,2,24
15,4,2,16
16,5,2,29
17,6,2,25
18,7,2,22
19,8,2,9
20,9,2,9
21,0,3,22
22,1,3,25
23,2,3,21
24,3,3,1
25,4,3,17
26,5,3,17
27,6,3,2
28,7,3,29
29,8,3,8
30,9,3,6
31,0,4,25
32,1,4,2
33,2,4,20
34,3,4,28
35,4,4,14
36,5,4,2
37,6,4,24
38,7,4,23
39,8,4,29
40,9,4,28
41,0,5,6
42,1,5,25
43,2,5,11
44,3,5,25
45,4,5,21
46,5,5,29
47,6,5,6
48,7,5,18
49,8,5,29
50,9,5,17
51,0,6,20
52,1,6,8
53,2,6,5
54,3,6,10
55,4,6,8
56,5,6,3
57,6,6,29
58,7,6,8
59,8,6,4
60,9,6,14
61,0,7,21
62,1,7,20
63,2,7,28
64,3,7,14
65,4,7,18
66,5,7,21
67,6,7,26
68,7,7,4
69,8,7,24
70,9,7,16
71,0,8,25
72,1,8,14
73,2,8,13
74,3,8,6
75,4,8,12
76,5,8,6
77,6,8,3
78,7,8,16
79,8,8,16
80,9,8,3
81,0,9,25
82,1,9,28
83,2,9,22
84,3,9,16
85,4,9,28
86,5,9,11
87,6,9,15
88,7,9,9
89,8,9,1
90,9,9,11
91,0,10,6
92,1,10,10
93,2,10,28
94,3,10,29
95,4,10,20
96,5,10,14
97,6,10,20
98,7,10,22
99,8,10,10
100,9,10,17
101,0,11,18
102,1,11,30
103,2,11,20
104,3,11,11
105,4,11,2
106,5,11,15
107,6,11,28
108,7,11,19
109,8,11,13
110,9,11,25
