,Rest Bay,Croyde,Minehead,Llangennith,Kimmeridge,Sennen,Brighton,Freshwater East,Freshwater West,Marloes,Westdale
0,0-1ft,0-1ft,0-1ft,0-1ft,0-1ft,1ft,0-1ft,1ft,0-1ft,0-1ft,0-1ft
1,0-1ft,1ft,0-1ft,0-1ft,0-1ft,1ft,0-1ft,1ft,0-1ft,0-1ft,0-1ft
2,0-1ft,0-1ft,0-1ft,0-1ft,0-1ft,1ft,0-1ft,1ft,0-1ft,0-1ft,0-1ft
3,0-1ft,0-1ft,0-1ft,0-1ft,0-1ft,1ft,0-1ft,1ft,0-1ft,0-1ft,0-1ft
4,0-1ft,0-1ft,0-1ft,0-1ft,0-1ft,1ft,0-1ft,1ft,0-1ft,0-1ft,0-1ft
5,0-1ft,0-1ft,0-1ft,0-1ft,0-1ft,1ft,0-1ft,1ft,0-1ft,0-1ft,0-1ft
6,0-1ft,0-1ft,0-1ft,0-1ft,0-1ft,1ft,0-1ft,1ft,0-1ft,0-1ft,0-1ft
7,0-1ft,0-1ft,1ft,0-1ft,0-1ft,1ft,0-1ft,1ft,0-1ft,0-1ft,0-1ft
8,0-1ft,0-1ft,1ft,0-1ft,0-1ft,1ft,0-1ft,1ft,0-1ft,1ft,0-1ft
9,0-1ft,0-1ft,1ft,0-1ft,1ft,1ft,0-1ft,1ft,0-1ft,1ft,0-1ft
10,0-1ft,0-1ft,1ft,1ft,1ft,0-1ft,1ft,1ft,0-1ft,1ft,1ft
11,0-1ft,0-1ft,1ft,1ft,1ft,0-1ft,1ft,1ft,1ft,1ft,1ft
12,0-1ft,0-1ft,1ft,1ft,1ft,0-1ft,1ft,1ft,1ft,1ft,1ft
13,0-1ft,0-1ft,0-1ft,1ft,1ft,0-1ft,1-2ft,1ft,1ft,1ft,1ft
14,1ft,1ft,0-1ft,1ft,1ft,0-1ft,1-2ft,1ft,1ft,1ft,1ft
15,1ft,1ft,0-1ft,1ft,1ft,1ft,1-2ft,1ft,0-1ft,1ft,0-1ft
16,1ft,1ft,,1ft,1ft,1ft,1-2ft,1ft,0-1ft,1ft,0-1ft
17,1ft,1ft,,1ft,1ft,1ft,1ft,1ft,1ft,1ft,1ft
18,1ft,1ft,,1ft,1ft,1ft,1ft,1-2ft,1ft,1ft,1ft
19,1ft,1ft,,1ft,1ft,1ft,1-2ft,1-2ft,1ft,1ft,1ft
20,1ft,1ft,,1ft,1ft,1ft,1-2ft,1ft,1ft,1ft,1ft
21,1ft,1ft,,1ft,1ft,1ft,1-2ft,1ft,1ft,1ft,1ft
22,1ft,1ft,,1ft,1ft,1ft,1ft,0-1ft,1ft,1ft,1ft
23,1ft,1ft,,1ft,1ft,1ft,1ft,1ft,1ft,1ft,1ft
24,1ft,1ft,,1ft,1ft,1ft,,1-2ft,1ft,1ft,1ft
25,1ft,1ft,,1ft,1ft,1ft,,2-3ft,1ft,1ft,1ft
26,1ft,1ft,,1ft,1ft,1ft,,2-3ft,1ft,1ft,1ft
27,1ft,1ft,,1ft,1ft,1ft,,1-2ft,1ft,1ft,1ft
28,1ft,1ft,,1ft,1-2ft,1ft,,1ft,1ft,1ft,1ft
29,1ft,1ft,,2ft,2-3ft,1ft,,1ft,1ft,1ft,1ft
30,1ft,1ft,,2-3ft,2-3ft,1ft,,1-2ft,1ft,1ft,1ft
31,1ft,1ft,,2-3ft,2-4ft,1ft,,2ft,1ft,1ft,1ft
32,1ft,1ft,,2-3ft,3-4ft,1ft,,2-3ft,1ft,1ft,1ft
33,1ft,1ft,,2-3ft,3-4ft,1ft,,2ft,1ft,1ft,1ft
34,1ft,1-2ft,,2-3ft,3-4ft,1ft,,1-2ft,1ft,1ft,1ft
35,1-2ft,1-2ft,,2-3ft,2-4ft,1ft,,1ft,1ft,1ft,1ft
36,1-2ft,1-2ft,,2-3ft,2-4ft,1-2ft,,1ft,1ft,1-2ft,1ft
37,1-2ft,1-2ft,,2-3ft,2-4ft,2-3ft,,1ft,1ft,1-2ft,1ft
38,1-2ft,1-2ft,,2ft,2-4ft,2-3ft,,1ft,1-2ft,2-3ft,1-2ft
39,1-2ft,2ft,,2-3ft,2-4ft,2-3ft,,0-1ft,2-3ft,2-4ft,2-3ft
40,1-2ft,2-3ft,,2-3ft,2-4ft,2-3ft,,0-1ft,2-3ft,2-4ft,2-3ft
41,2-3ft,2-3ft,,2ft,2-3ft,2-3ft,,,2-3ft,2-4ft,2-3ft
42,2ft,2ft,,1-2ft,2-3ft,2-3ft,,,2-3ft,3-4ft,2-3ft
43,2-3ft,2-3ft,,1-2ft,2-3ft,2-3ft,,,2-3ft,3-4ft,2-3ft
44,2-3ft,2-3ft,,1-2ft,,2-3ft,,,2-3ft,3-4ft,2-3ft
45,2-3ft,2-3ft,,1-2ft,,2-4ft,,,2-3ft,2-4ft,2-3ft
46,2-3ft,2-3ft,,,,3-4ft,,,2ft,2-3ft,2ft
47,2-3ft,2-3ft,,,,3-4ft,,,2-3ft,2-3ft,2-3ft
48,2-3ft,2-3ft,,,,3-4ft,,,2-3ft,2-3ft,2-3ft
49,2ft,2ft,,,,2-4ft,,,2-3ft,2-3ft,2-3ft
50,1-2ft,1-2ft,,,,2-4ft,,,2ft,2-3ft,2ft
51,1-2ft,1-2ft,,,,2-3ft,,,2ft,2-3ft,1-2ft
