rank,location1,location2,country,number,brand,source
1,Ving Cuu,Dong Nai,Vietnam,24300,Nike,https://wageindicator.org/documents/publicationslist/publications-2018/2018-garment-wageindicator.pdf
2,Ben Luc,Long An,Vietnam,22400,Nike,"MAPPING THE GLOBAL GARMENT SUPPLY CHAIN, Maarten van Klaveren Kea Tijdens"
3,Long Ho,Vinh Long,Vietnam,22300,Adidas,
4,Thu Duc,Ho Chi Minh City,Vietnam,21600,Nike,
5,Serang,Banten prov.,Indonesia,19200,Nike,
6,Serang,Banten prov.,Indonesia,15600,Adidas,
7,Bien Hoa,Dong Nai,Vietnam,18600,Nike,
8,Trang Bom,Dong Nai,Vietnam,17100,Nike,
9,Sukabumi,Jawa Barat,Indonesia,15800,Nike,
10,Tangerang,Banten,Indonesia,15300,Nike,
11,Subang,Jawa Barat,Indonesia,15300,Nike,
12,Ben Vau,Thai Ningh,Vietnam,14500,Nike,
13,Nhonh Trach,Dong Nai,Vietnam,14200,Adidas,
14,Tinh Gia,Thanh Hoa,Vietnam,13900,Nike,
15,Xuan Loc,Dong Ni,Vietnam,13700,Nike,
16,Karawang,Jawa Barat,Indonesia,13600,Nike,
17,Thu Duc,Ho Chi Minh City,Vietnam,13600,Nike,
18,Dongguan,Guangdong,China,12800,Adidas,
19,Tangerang,Banten,Indonesia,12800,Nike,
20,Qingyang,Guangdong,China,11900,Nike,
21,Binh Duong,,Vietnam,10700,Adidas,
22,Bandung,Jawa Barat,Indonesia,10300,Nike,
23,Serang,Banten,Indonesia,10300,Adidas,
24,Sukabumi,Jawa Barat,Indonesia,10100,Adidas,
25,,Ho Chi Minh City,Vietnam,10100,Adidas,
