Item,Number,pieNumber,Type,Value,Share
Gross domestic product,1,99,GDP,25723.9,100%
Personal consumption expenditures,2,99,C,17542.7,68%
Goods,3,99,C,5988.6,23%
Durable goods,4,3,C,2195.8,9%
Nondurable goods,5,2,C,3792.7,15%
Services,6,1,C,11554.1,45%
Gross private domestic investment,7,99,I,4579.1,18%
Fixed investment,8,99,I,4508.2,18%
Nonresidential,9,99,I,3403.4,13%
Structures,10,6,I,654.8,3%
Equipment,11,7,I,1352,5%
Intellectual property products,12,4,I,1396.6,5%
Residential,13,5,I,1104.8,4%
Change in private inventories,14,99,I,70.9,0%
Net exports of goods and services,15,99,NX,-890.8,-3%
Exports,16,99,NX,3065,12%
Goods,17,99,NX,2141.2,8%
Services,18,99,NX,923.8,4%
Imports,19,99,NX,3955.8,15%
Goods,20,99,NX,3269.7,13%
Services,21,99,NX,686.1,3%
Government consumption expenditures and gross investment,22,99,G,4493,17%
Federal,23,99,G,1657.1,6%
National defense,24,9,G,935.3,4%
Nondefense,25,10,G,721.8,3%
State and local,26,8,G,2836,11%
