WEO Country Code,ISO,WEO Subject Code,Country,gdp2021,gdp2022,GrowthLatest,p21
546,MAC,NGDPRPPPPC,Macao SAR,"64,739.16","49,230.40",-0.239557634,0
672,LBY,NGDPRPPPPC,Libya,"19,960.96","16,099.86",-0.19343258,0
537,TLS,NGDPRPPPPC,Timor-Leste,"3,880.41","3,318.07",-0.144917676,0
524,LKA,NGDPRPPPPC,Sri Lanka,"13,386.68","12,093.20",-0.096624406,0
913,BLR,NGDPRPPPPC,Belarus,"19,743.00","18,449.29",-0.065527529,0
813,SLB,NGDPRPPPPC,Solomon Islands,"2,123.89","1,985.56",-0.065130492,0
862,WSM,NGDPRPPPPC,Samoa,"5,296.74","4,999.11",-0.056191167,0
565,PLW,NGDPRPPPPC,Palau,"11,670.00","11,230.93",-0.037623822,0
922,RUS,NGDPRPPPPC,Russia,"28,104.88","27,166.68",-0.033382103,1
732,SDN,NGDPRPPPPC,Sudan,"3,891.41","3,781.42",-0.028264819,0
263,HTI,NGDPRPPPPC,Haiti,"2,759.66","2,690.49",-0.025064682,0
676,MWI,NGDPRPPPPC,Malawi,"1,375.23","1,349.35",-0.01881867,0
866,TON,NGDPRPPPPC,Tonga,"5,768.54","5,662.44",-0.018392869,0
846,VUT,NGDPRPPPPC,Vanuatu,"2,469.95","2,428.79",-0.016664305,0
288,PRY,NGDPRPPPPC,Paraguay,"12,490.78","12,346.75",-0.011530905,0
836,NRU,NGDPRPPPPC,Nauru,"9,304.11","9,207.42",-0.010392182,0
532,HKG,NGDPRPPPPC,Hong Kong SAR,"60,059.17","59,477.39",-0.009686781,0
726,SOM,NGDPRPPPPC,Somalia,"1,132.93","1,123.50",-0.00832355,0
868,FSM,NGDPRPPPPC,Micronesia,"3,148.52","3,123.22",-0.008035521,0
826,KIR,NGDPRPPPPC,Kiribati,"1,852.74","1,839.78",-0.006995045,0
632,COM,NGDPRPPPPC,Comoros,"2,878.32","2,859.12",-0.006670558,0
626,CAF,NGDPRPPPPC,Central African Republic,929.353,924.869,-0.004824862,0
678,MLI,NGDPRPPPPC,Mali,"2,227.08","2,217.02",-0.004517126,0
716,STP,NGDPRPPPPC,São Tomé and Príncipe,"4,019.21","4,002.36",-0.004192366,0
925,TKM,NGDPRPPPPC,Turkmenistan,"16,082.94","16,040.79",-0.002620789,0
686,MAR,NGDPRPPPPC,Morocco,"8,353.36","8,335.45",-0.002144047,0
474,YEM,NGDPRPPPPC,Yemen,"1,818.16","1,815.48",-0.001474018,0
614,AGO,NGDPRPPPPC,Angola,"6,344.15","6,335.91",-0.001298834,0
754,ZMB,NGDPRPPPPC,Zambia,"3,239.65","3,236.21",-0.001061843,0
144,SWE,NGDPRPPPPC,Sweden,"54,239.69","54,285.23",0.000839607,0
366,SUR,NGDPRPPPPC,Suriname,"14,726.31","14,744.96",0.001266441,0
137,LUX,NGDPRPPPPC,Luxembourg,"120,038.97","120,325.59",0.002387725,0
618,BDI,NGDPRPPPPC,Burundi,733.16,735.14,0.002700638,0
724,SLE,NGDPRPPPPC,Sierra Leone,"1,670.09","1,675.91",0.003484842,0
628,TCD,NGDPRPPPPC,Chad,"1,454.88","1,460.50",0.003862862,0
199,ZAF,NGDPRPPPPC,South Africa,"13,145.76","13,219.93",0.005642123,0
694,NGA,NGDPRPPPPC,Nigeria,"4,969.21","5,000.26",0.006248478,1
867,MHL,NGDPRPPPPC,Marshall Islands,"3,710.19","3,734.79",0.006630388,0
748,BFA,NGDPRPPPPC,Burkina Faso,"2,241.66","2,256.82",0.006762845,0
946,LTU,NGDPRPPPPC,Lithuania,"38,927.30","39,227.17",0.007703334,0
544,LAO,NGDPRPPPPC,Lao P.D.R.,"7,726.94","7,789.79",0.00813388,0
