k,y,s,d
0,0,0,0
1,1,0.4,0.05
2,1.414213562,0.565685425,0.1
3,1.732050808,0.692820323,0.15
4,2,0.8,0.2
5,2.236067977,0.894427191,0.25
6,2.449489743,0.979795897,0.3
7,2.645751311,1.058300524,0.35
8,2.828427125,1.13137085,0.4
9,3,1.2,0.45
10,3.16227766,1.264911064,0.5
11,3.31662479,1.326649916,0.55
12,3.464101615,1.385640646,0.6
13,3.605551275,1.44222051,0.65
14,3.741657387,1.496662955,0.7
15,3.872983346,1.549193338,0.75
16,4,1.6,0.8
17,4.123105626,1.64924225,0.85
18,4.242640687,1.697056275,0.9
19,4.358898944,1.743559577,0.95
20,4.472135955,1.788854382,1
21,4.582575695,1.833030278,1.05
22,4.69041576,1.876166304,1.1
23,4.795831523,1.918332609,1.15
24,4.898979486,1.959591794,1.2
25,5,2,1.25
26,5.099019514,2.039607805,1.3
27,5.196152423,2.078460969,1.35
28,5.291502622,2.116601049,1.4
29,5.385164807,2.154065923,1.45
30,5.477225575,2.19089023,1.5
31,5.567764363,2.227105745,1.55
32,5.656854249,2.2627417,1.6
33,5.744562647,2.297825059,1.65
34,5.830951895,2.332380758,1.7
35,5.916079783,2.366431913,1.75
36,6,2.4,1.8
37,6.08276253,2.433105012,1.85
38,6.164414003,2.465765601,1.9
39,6.244997998,2.497999199,1.95
40,6.32455532,2.529822128,2
41,6.403124237,2.561249695,2.05
42,6.480740698,2.592296279,2.1
43,6.557438524,2.62297541,2.15
44,6.633249581,2.653299832,2.2
45,6.708203932,2.683281573,2.25
46,6.782329983,2.712931993,2.3
47,6.8556546,2.74226184,2.35
48,6.92820323,2.771281292,2.4
49,7,2.8,2.45
50,7.071067812,2.828427125,2.5
51,7.141428429,2.856571371,2.55
52,7.211102551,2.88444102,2.6
53,7.280109889,2.912043956,2.65
54,7.348469228,2.939387691,2.7
55,7.416198487,2.966479395,2.75
56,7.483314774,2.993325909,2.8
57,7.549834435,3.019933774,2.85
58,7.615773106,3.046309242,2.9
59,7.681145748,3.072458299,2.95
60,7.745966692,3.098386677,3
61,7.810249676,3.12409987,3.05
62,7.874007874,3.14960315,3.1
63,7.937253933,3.174901573,3.15
64,8,3.2,3.2
65,8.062257748,3.224903099,3.25
66,8.124038405,3.249615362,3.3
67,8.185352772,3.274141109,3.35
68,8.246211251,3.2984845,3.4
69,8.306623863,3.322649545,3.45
70,8.366600265,3.346640106,3.5
71,8.426149773,3.370459909,3.55
72,8.485281374,3.39411255,3.6
73,8.544003745,3.417601498,3.65
74,8.602325267,3.440930107,3.7
75,8.660254038,3.464101615,3.75
76,8.717797887,3.487119155,3.8
77,8.774964387,3.509985755,3.85
78,8.831760866,3.532704347,3.9
79,8.888194417,3.555277767,3.95
80,8.94427191,3.577708764,4
81,9,3.6,4.05
82,9.055385138,3.622154055,4.1
83,9.110433579,3.644173432,4.15
84,9.16515139,3.666060556,4.2
85,9.219544457,3.687817783,4.25
86,9.273618495,3.709447398,4.3
87,9.327379053,3.730951621,4.35
88,9.38083152,3.752332608,4.4
89,9.433981132,3.773592453,4.45
90,9.486832981,3.794733192,4.5
91,9.539392014,3.815756806,4.55
92,9.591663047,3.836665219,4.6
93,9.643650761,3.857460304,4.65
94,9.695359715,3.878143886,4.7
95,9.746794345,3.898717738,4.75
96,9.797958971,3.919183588,4.8
97,9.848857802,3.939543121,4.85
98,9.899494937,3.959797975,4.9
99,9.949874371,3.979949748,4.95
100,10,4,5
