Year,A Population,B Median Age,C Life Expectancy,D Fertility Rate
1950,2.477674732,22.224,46.464,4.86
1951,2.520969582,22.172,47.144,4.827
1952,2.565291179,22.108,48.231,5.014
1953,2.615250618,22.036,48.802,4.937
1954,2.665306975,21.952,49.592,5.01
1955,2.718651703,21.845,50.123,5.012
1956,2.773492579,21.742,50.642,4.939
1957,2.828512683,21.634,50.945,5.076
1958,2.88722103,21.532,51.537,4.935
1959,2.944995164,21.478,49.345,4.741
1960,2.995589212,21.461,47.697,4.695
1961,3.042877656,21.448,50.359,4.574
1962,3.093863563,21.371,53.124,5.03
1963,3.159509922,21.204,53.576,5.317
1964,3.232048572,21.008,54.164,5.133
1965,3.302376104,20.815,53.892,5.081
1966,3.371847862,20.633,54.472,4.963
1967,3.440986209,20.491,54.92,4.856
1968,3.509910122,20.401,55.486,4.963
1969,3.583711493,20.343,55.829,4.867
1970,3.657599057,20.32,56.112,4.828
1971,3.733181615,20.332,55.892,4.682
1972,3.807144569,20.379,57.123,4.547
1973,3.882457201,20.457,57.633,4.421
1974,3.958045806,20.562,58.042,4.265
1975,4.032988348,20.692,58.275,4.084
1976,4.105886113,20.84,58.711,3.977
1977,4.179125652,21.007,59.365,3.852
1978,4.252419327,21.177,59.74,3.79
1979,4.326896089,21.345,60.204,3.776
1980,4.404269653,21.505,60.552,3.75
1981,4.483745758,21.642,60.992,3.716
1982,4.565509559,21.741,61.416,3.713
1983,4.650460182,21.826,61.565,3.578
1984,4.733308294,21.916,61.907,3.552
1985,4.818363854,22.04,62.236,3.515
1986,4.905097372,22.224,62.767,3.505
1987,4.995029307,22.417,63.158,3.48
1988,5.086939683,22.604,63.281,3.391
1989,5.177648264,22.783,63.792,3.346
1990,5.269760352,22.96,63.988,3.308
1991,5.362591372,23.144,64.058,3.127
1992,5.449900363,23.353,64.303,3.041
1993,5.535471822,23.575,64.437,2.976
1994,5.619395224,23.81,64.459,2.926
1995,5.702060762,24.051,64.877,2.878
1996,5.784378146,24.293,65.143,2.833
1997,5.86591245,24.534,65.501,2.794
1998,5.947050072,24.777,65.722,2.758
1999,6.027574888,25.018,66.073,2.73
2000,6.107942028,25.25,66.453,2.734
2001,6.189855922,25.47,66.834,2.7
2002,6.271638043,25.679,67.137,2.672
2003,6.353176677,25.882,67.46,2.647
2004,6.434620053,26.08,67.807,2.636
2005,6.516882903,26.273,68.205,2.619
2006,6.599469335,26.47,68.703,2.612
2007,6.683363101,26.675,69.051,2.612
2008,6.768533988,26.886,69.301,2.613
2009,6.854660556,27.102,69.796,2.605
2010,6.94195126,27.327,70.109,2.587
2011,7.02925495,27.554,70.53,2.573
2012,7.1169959,27.775,70.873,2.59
2013,7.206399942,27.993,71.207,2.56
2014,7.294786798,28.22,71.565,2.553
2015,7.38324004,28.456,71.8,2.524
2016,7.469955033,28.699,72.11,2.526
2017,7.556993443,28.947,72.327,2.504
2018,7.642651364,29.204,72.576,2.443
2019,7.724928292,29.469,72.79,2.406
2020,7.804973773,29.736,72.036,2.349
2021,7.876931987,29.996,71.048,2.321
2022,7.941658316,30.242,71.713,2.314
2023,8.008551995,30.489,73.357,2.312
2024,8.0820709,30.736,73.669,2.308
2025,8.155601099,30.977,73.789,2.303
2026,8.228375807,31.211,73.948,2.298
2027,8.300353212,31.44,74.106,2.293
2028,8.37160213,31.662,74.26,2.287
2029,8.442055453,31.877,74.414,2.281
2030,8.511723329,32.086,74.57,2.273
2031,8.580559324,32.289,74.721,2.265
2032,8.648506165,32.487,74.871,2.259
2033,8.715677802,32.682,75.019,2.25
2034,8.781919281,32.878,75.163,2.242
2035,8.847231061,33.073,75.307,2.234
2036,8.911563741,33.263,75.451,2.226
2037,8.974849663,33.447,75.593,2.221
2038,9.037203076,33.629,75.733,2.216
2039,9.098574977,33.81,75.871,2.209
2040,9.158747453,33.991,76.007,2.205
2041,9.217753531,34.173,76.145,2.201
2042,9.27559307,34.357,76.278,2.197
2043,9.332200631,34.545,76.407,2.193
2044,9.38747221,34.737,76.535,2.188
2045,9.441344637,34.932,76.661,2.183
2046,9.493742512,35.126,76.786,2.178
2047,9.544639095,35.32,76.904,2.173
2048,9.593956678,35.517,77.021,2.166
2049,9.641592262,35.718,77.137,2.157
2050,9.687440029,35.919,77.248,2.149
2051,9.731543492,36.117,77.358,2.139
2052,9.773770339,36.312,77.469,2.133
2053,9.814433747,36.504,77.578,2.122
2054,9.853288635,36.694,77.686,2.113
2055,9.890512569,36.882,77.792,2.103
2056,9.926097169,37.057,77.895,2.095
2057,9.960149356,37.218,78.002,2.086
2058,9.992730945,37.364,78.107,2.077
2059,10.02388928,37.496,78.21,2.065
2060,10.05352245,37.618,78.314,2.057
2061,10.08194477,37.735,78.415,2.049
2062,10.10920136,37.851,78.518,2.043
2063,10.135414,37.967,78.621,2.034
2064,10.16048423,38.081,78.721,2.027
2065,10.18454332,38.194,78.824,2.017
2066,10.20738648,38.308,78.925,2.009
2067,10.22915955,38.42,79.023,2.003
2068,10.25000801,38.533,79.122,1.995
2069,10.26973797,38.646,79.22,1.988
2070,10.28841177,38.758,79.317,1.981
2071,10.30592166,38.871,79.416,1.974
2072,10.32236295,38.985,79.509,1.97
2073,10.33775676,39.099,79.605,1.964
2074,10.35202623,39.214,79.699,1.958
2075,10.3650793,39.33,79.794,1.951
2076,10.3769091,39.447,79.887,1.945
2077,10.3874517,39.565,79.981,1.938
2078,10.3967123,39.685,80.072,1.933
2079,10.4047872,39.806,80.162,1.929
2080,10.41174664,39.928,80.253,1.924
2081,10.41752774,40.051,80.342,1.919
2082,10.42217524,40.174,80.432,1.916
2083,10.42587055,40.299,80.525,1.912
2084,10.42858225,40.425,80.615,1.907
2085,10.43031254,40.551,80.705,1.901
2086,10.43104566,40.678,80.797,1.895
2087,10.4308069,40.805,80.886,1.891
2088,10.42972835,40.931,80.974,1.888
2089,10.4279329,41.057,81.066,1.882
2090,10.42526939,41.182,81.156,1.877
2091,10.42181268,41.306,81.246,1.871
2092,10.41748158,41.427,81.335,1.867
2093,10.41243808,41.545,81.426,1.862
2094,10.4065441,41.661,81.517,1.86
2095,10.4000002,41.774,81.609,1.855
2096,10.39261149,41.884,81.698,1.851
2097,10.38442281,41.992,81.787,1.846
2098,10.37535409,42.097,81.877,1.842
2099,10.36553631,42.2,81.969,1.84
2100,10.35500242,42.3,82.058,1.835
