Year,outputPerWorker
1960,34.4
1961,34.9
1962,35.2
1963,36.9
1964,38.5
1965,39.1
1966,39.4
1967,40.8
1968,43.3
1969,44.2
1970,45.5
1971,47.9
1972,49.9
1973,52.5
1974,51.2
1975,50.6
1976,52.3
1977,53.5
1978,55.2
1979,56.5
1980,55.6
1981,56.8
1982,59.3
1983,62.2
1984,62
1985,63.9
1986,65.3
1987,67.4
1988,68.7
1989,68.6
1990,68.8
1991,69.9
1992,71.9
1993,74.2
1994,76
1995,76.7
1996,78.3
1997,80.1
1998,82
1999,83.5
2000,86.2
2001,87.6
2002,88.3
2003,90.1
2004,91.2
2005,92.9
2006,94.3
2007,96
2008,95.1
2009,92.2
2010,94.2
2011,94.9
2012,95.4
2013,95.9
2014,96.7
2015,96.9
2016,97.5
2017,99.2
2018,99.4
2019,100
2020,90.8
2021,98.6
2022,101.3
2023,100.9
