Date,California,Florida,Arizona,New York,Texas,Alabama,North Carolina,Illinois
1900-01-01,1490,530,124,7283,3055,1830,1897,4828
1901-01-01,1550,544,131,7449,3132,1907,1926,4914
1902-01-01,1623,565,138,7612,3210,1935,1956,4992
1903-01-01,1702,587,144,7771,3291,1957,1986,5071
1904-01-01,1792,599,151,7927,3374,1978,2017,5161
1905-01-01,1893,615,158,8084,3459,2012,2051,5241
1906-01-01,1976,628,167,8289,3546,2045,2077,5309
1907-01-01,2054,645,176,8499,3636,2058,2105,5384
1908-01-01,2161,684,186,8714,3727,2070,2142,5474
1909-01-01,2282,724,196,8935,3821,2108,2174,5567
1910-01-01,2406,756,206,9137,3922,2150,2221,5668
1911-01-01,2534,773,212,9249,4016,2185,2276,5757
1912-01-01,2668,801,217,9361,4107,2217,2313,5828
1913-01-01,2811,828,236,9473,4207,2279,2362,5961
1914-01-01,2934,871,253,9585,4300,2336,2421,6109
1915-01-01,3008,922,263,9700,4368,2345,2473,6194
1916-01-01,3071,924,282,9848,4444,2359,2513,6274
1917-01-01,3171,895,311,9993,4563,2361,2546,6313
1918-01-01,3262,865,320,9936,4666,2343,2522,6275
1919-01-01,3339,898,329,10252,4631,2337,2535,6392
1920-01-01,3554,962,340,10282,4723,2359,2588,6663
1921-01-01,3795,997,351,10416,4853,2402,2651,6858
1922-01-01,3991,1044,360,10589,4955,2434,2700,6958
1923-01-01,4270,1097,371,10752,5077,2464,2761,7068
1924-01-01,4541,1160,382,10953,5210,2501,2830,7215
1925-01-01,4730,1264,393,11186,5332,2534,2895,7306
1926-01-01,4929,1368,403,11257,5453,2567,2959,7395
1927-01-01,5147,1418,414,11174,5577,2609,3027,7519
1928-01-01,5344,1433,422,11599,5675,2640,3082,7576
1929-01-01,5531,1445,430,12171,5762,2644,3133,7606
1930-01-01,5711,1471,434,12647,5844,2647,3167,7644
1931-01-01,5824,1493,429,12848,5907,2649,3184,7687
1932-01-01,5894,1521,426,13001,5961,2653,3227,7736
1933-01-01,5963,1552,426,13126,6014,2661,3268,7768
1934-01-01,6060,1585,428,13253,6053,2685,3304,7772
1935-01-01,6175,1613,434,13375,6123,2719,3323,7797
1936-01-01,6341,1651,443,13481,6192,2743,3346,7840
1937-01-01,6528,1709,453,13511,6250,2762,3385,7857
1938-01-01,6656,1771,466,13512,6301,2787,3440,7866
1939-01-01,6785,1836,484,13523,6360,2814,3514,7890
1940-01-01,6950,1915,499,13456,6425,2845,3574,7905
1941-01-01,7237,2017,490,13267,6585,2902,3589,7995
1942-01-01,7735,2151,524,13002,6711,2941,3569,8057
1943-01-01,8506,2451,692,12807,7012,2902,3654,7761
1944-01-01,8945,2420,610,12628,6876,2802,3560,7719
1945-01-01,9344,2465,594,12495,6826,2775,3533,7601
1946-01-01,9559,2440,616,13398,7197,2911,3706,8155
1947-01-01,9832,2528,653,13982,7388,2942,3769,8341
1948-01-01,10064,2578,690,14497,7626,2969,3837,8552
1949-01-01,10337,2668,714,14892,7623,3000,3911,8670
1950-01-01,10677,2810,756,14865,7776,3058,4068,8738
1951-01-01,11134,2980,785,14890,8111,3059,4120,8790
1952-01-01,11635,3157,842,15192,8314,3068,4109,8956
1953-01-01,12251,3310,894,15527,8336,3053,4120,9065
1954-01-01,12746,3505,933,15814,8382,3014,4131,9252
1955-01-01,13133,3747,987,15966,8660,3050,4242,9435
1956-01-01,13713,4047,1053,16112,8830,3071,4309,9530
1957-01-01,14264,4372,1125,16374,9070,3109,4368,9668
1958-01-01,14880,4630,1193,16601,9252,3163,4376,9886
1959-01-01,15467,4808,1261,16685,9405,3204,4458,9986
