Date,State,Value,Year
01/01/1900,California,1490,1900
01/01/1901,California,1550,1901
01/01/1902,California,1623,1902
01/01/1903,California,1702,1903
01/01/1904,California,1792,1904
01/01/1905,California,1893,1905
01/01/1906,California,1976,1906
01/01/1907,California,2054,1907
01/01/1908,California,2161,1908
01/01/1909,California,2282,1909
01/01/1910,California,2406,1910
01/01/1911,California,2534,1911
01/01/1912,California,2668,1912
01/01/1913,California,2811,1913
01/01/1914,California,2934,1914
01/01/1915,California,3008,1915
01/01/1916,California,3071,1916
01/01/1917,California,3171,1917
01/01/1918,California,3262,1918
01/01/1919,California,3339,1919
01/01/1920,California,3554,1920
01/01/1921,California,3795,1921
01/01/1922,California,3991,1922
01/01/1923,California,4270,1923
01/01/1924,California,4541,1924
01/01/1925,California,4730,1925
01/01/1926,California,4929,1926
01/01/1927,California,5147,1927
01/01/1928,California,5344,1928
01/01/1929,California,5531,1929
01/01/1930,California,5711,1930
01/01/1931,California,5824,1931
01/01/1932,California,5894,1932
01/01/1933,California,5963,1933
01/01/1934,California,6060,1934
01/01/1935,California,6175,1935
01/01/1936,California,6341,1936
01/01/1937,California,6528,1937
01/01/1938,California,6656,1938
01/01/1939,California,6785,1939
01/01/1940,California,6950,1940
01/01/1941,California,7237,1941
01/01/1942,California,7735,1942
01/01/1943,California,8506,1943
01/01/1944,California,8945,1944
01/01/1945,California,9344,1945
01/01/1946,California,9559,1946
01/01/1947,California,9832,1947
01/01/1948,California,10064,1948
01/01/1949,California,10337,1949
01/01/1950,California,10677,1950
01/01/1951,California,11134,1951
01/01/1952,California,11635,1952
01/01/1953,California,12251,1953
01/01/1954,California,12746,1954
01/01/1955,California,13133,1955
01/01/1956,California,13713,1956
01/01/1957,California,14264,1957
01/01/1958,California,14880,1958
01/01/1959,California,15467,1959
01/01/1960,California,15870,1960
01/01/1961,California,16497,1961
01/01/1962,California,17072,1962
01/01/1963,California,17668,1963
01/01/1964,California,18151,1964
01/01/1965,California,18585,1965
01/01/1966,California,18858,1966
01/01/1967,California,19176,1967
01/01/1968,California,19394,1968
01/01/1969,California,19711,1969
01/01/1970,California,19971.069,1970
01/01/1971,California,20345.939,1971
01/01/1972,California,20585.469,1972
01/01/1973,California,20868.728,1973
01/01/1974,California,21173.865,1974
01/01/1975,California,21537.849,1975
01/01/1976,California,21935.909,1976
01/01/1977,California,22352.396,1977
01/01/1978,California,22835.958,1978
01/01/1979,California,23256.88,1979
01/01/1980,California,23800.8,1980
01/01/1981,California,24285.933,1981
01/01/1982,California,24820.009,1982
01/01/1983,California,25360.026,1983
01/01/1984,California,25844.393,1984
01/01/1985,California,26441.109,1985
01/01/1986,California,27102.237,1986
01/01/1987,California,27777.158,1987
01/01/1988,California,28464.249,1988
01/01/1989,California,29218.164,1989
01/01/1990,California,29950.111,1990
01/01/1991,California,30414.114,1991
01/01/1992,California,30875.92,1992
01/01/1993,California,31147.208,1993
01/01/1994,California,31317.179,1994
01/01/1995,California,31493.525,1995
01/01/1996,California,31780.829,1996
01/01/1997,California,32217.708,1997
01/01/1998,California,32682.794,1998
01/01/1999,California,33145.121,1999
01/01/2000,California,33987.977,2000
01/01/2001,California,34479.458,2001
01/01/2002,California,34871.843,2002
01/01/2003,California,35253.159,2003
01/01/2004,California,35574.576,2004
01/01/2005,California,35827.943,2005
01/01/2006,California,36021.202,2006
01/01/2007,California,36250.311,2007
01/01/2008,California,36604.337,2008
01/01/2009,California,36961.229,2009
01/01/2010,California,37319.55,2010
01/01/2011,California,37636.311,2011
01/01/2012,California,37944.551,2012
01/01/2013,California,38253.768,2013
01/01/2014,California,38586.706,2014
01/01/2015,California,38904.296,2015
01/01/2016,California,39149.186,2016
01/01/2017,California,39337.785,2017
01/01/2018,California,39437.463,2018
