country,country2,BCA,BCA_NGDPD,GGR,GGR_NGDP,GGSB,GGSB_NPGDP,GGX,GGX_NGDP,GGXCNL,GGXCNL_NGDP,GGXONLB,GGXONLB_NGDP,GGXWDG,GGXWDG_NGDP,GGXWDN,GGXWDN_NGDP,LE,LP,LUR,NGAP_NPGDP,NGDP,NGDP_D,NGDP_FY,NGDP_R,NGDP_RPCH,NGDPD,NGDPDPC,NGDPPC,NGDPRPC,NGDPRPPPPC,NGSD_NGDP,NID_NGDP,PCPI,PCPIE,PCPIEPCH,PCPIPCH,PPPEX,PPPGDP,PPPPC,PPPSH,TM_RPCH,TMG_RPCH,TX_RPCH,TXG_RPCH
MAR,mar,-1.415,-1.166,311.147,26.999,-63.919,-5.221,393.516,34.147,-82.369,-7.147,-53.584,-4.65,832.602,72.248,825.264,71.611,,35.952,12.2,,1152.419,106.102,1152.419,1086.143,-7.187,121.348,3375.265,32054.378,30210.909,7817.346,27.456,28.622,102.451,101.511,-0.912,0.622,3.888,296.441,8245.458,0.223,-8.767,-4.895,-19.977,-4.729
ABW,abw,-0.338,-12.959,1.071,22.929,,,1.82,38.957,-0.749,-16.028,-0.514,-11.011,5.146,110.139,,,,0.109,8.6,,4.672,99.489,4.672,4.696,-18.585,2.61,24036.872,43026,43246.827,32552.072,9.825,,97.686,97.062,-3.067,-1.313,1.253,3.728,34334.767,0.003,,,,
AFG,afg,2.247,11.157,397.564,25.694,,,432.266,27.937,-34.703,-2.243,-34.131,-2.206,114.461,7.397,,,,32.941,,,1547.289,120.05,1547.289,1288.869,-2.351,20.136,611.268,46972.096,39127.076,2328.757,27.619,16.462,120.671,122.1,4.987,5.607,19.123,80.912,2456.289,0.061,-2.925,-2.844,0.534,-16.606
AGO,ago,0.872,1.5,7052.762,20.983,184.822,0.47,7690.86,22.882,-638.098,-1.898,1661.672,4.944,45892.991,136.54,,,,31.031,,,33611.359,2293.824,33611.359,1465.298,-5.75,58.125,1873.11,1083142.548,47219.95,6482.345,26.453,24.953,431.227,477.015,25.103,22.277,158.416,212.172,6837.347,0.16,-33.037,-33.399,-7.342,-6.428
ALB,alb,-1.315,-8.677,425.906,25.905,,,536.28,32.619,-110.374,-6.713,-75.98,-4.621,1248.296,75.927,1149.157,69.897,,2.878,11.675,,1644.077,203.32,1644.077,808.617,-3.482,15.161,5268.239,571296.57,280984.503,13394.458,14.074,22.79,108.613,108.225,1.051,1.621,40.437,40.658,14127.997,0.031,-19.535,-5.103,-27.549,-2.056
AND,and,0.422,14.634,1.025,40.485,,,1.1,43.445,-0.075,-2.96,,,1.173,46.329,,,0.045,0.078,2.85,,2.531,106.557,2.531,2.375,-11.184,2.885,36973.845,32443.633,30447.35,49728.236,,,102.298,102.385,-0.202,0.257,0.619,4.092,52451.572,0.003,,,,
ARE,are,21.103,5.88,367.865,27.912,,,436.283,33.103,-68.418,-5.191,-64.59,-4.901,522.86,39.672,,,,9.89,,,1317.946,91.585,1317.946,1439.048,-4.8,358.869,36284.561,133255.049,145499.445,64199.349,28.07,22.19,272.444,270.657,-2.079,-2.079,1.968,669.73,67715.188,0.504,-16.744,-11.195,-7.87,-7.825
ARG,arg,3.093,0.795,9198.324,33.471,-1570.348,-5.294,11558.522,42.059,-2360.199,-8.588,-1697.957,-6.179,28248.09,102.79,,,,45.388,11.55,,27481.44,4401.996,27481.44,624.295,-9.943,389.064,8571.937,605476.777,13754.595,19680.299,16.94,16.145,619.207,722.878,36.141,42.015,29.168,942.17,20758.079,0.709,-10.549,-10.404,-12.898,-12.946
ARM,arm,-0.479,-3.787,1560.655,25.247,,,1894.647,30.649,-333.993,-5.403,-169.382,-2.74,3923.889,63.476,,,,2.962,18.1,,6181.664,162.702,6181.664,3799.368,-7.395,12.641,4267.487,2086839.123,1282611.022,12631.534,14.746,18.532,218.396,229.594,3.746,1.226,156.631,39.466,13323.293,0.03,-31.113,-17.47,-35.562,-20.835
ATG,atg,-0.252,-18.358,0.755,20.399,,,0.99,26.761,-0.235,-6.362,-0.14,-3.797,3.754,101.477,,,,0.098,,,3.7,126.318,3.7,2.929,-20.192,1.37,13997.537,37793.35,29919.199,17299.228,12.927,31.284,102.109,103.61,2.778,1.058,2.071,1.786,18246.61,0.001,-34.634,-27.186,-50.458,-30.223
AUS,aus,32.483,2.393,707.36,35.973,-162.726,-7.94,879.569,44.73,-172.209,-8.758,-154.434,-7.854,1125.625,57.243,679.332,34.547,12.669,25.639,6.483,-4.072,1966.389,100.334,1966.389,1959.841,-2.138,1357.639,52952.827,76696.271,76440.875,49192.227,24.637,22.28,116.15,117.2,0.947,0.89,1.478,1330.292,51886.209,1.001,-13.012,-2.27,-9.825,-4.077
AUT,aut,8.221,1.899,185.69,48.953,-18.757,-4.841,216.207,56.999,-30.517,-8.045,-27.01,-7.121,315.999,83.306,226.09,59.604,4.281,8.901,5.4,-2.109,379.321,108.886,379.321,348.364,-6.735,432.912,48636.302,42615.504,39137.603,52262.894,27.8,25.901,131.81,131.692,1.037,1.392,0.773,490.668,55125.04,0.369,-9.377,-6.462,-10.759,-7.816
AZE,aze,-0.228,-0.533,24.467,33.711,,,29.316,40.392,-4.849,-6.682,-4.245,-5.848,15.479,21.327,,,,10.067,7.157,,72.578,253.313,72.578,28.652,-4.199,42.693,4240.844,7209.435,2846.063,13774.121,22.794,24.235,263.348,266.129,2.72,2.824,0.496,146.259,14528.452,0.11,-9.837,-8.631,-10.243,-11.644
