Industry,Year,RLP,lRLP,Lrlp_rel,Empl,Turn,Units,E (m),T (m),N firms
Manufacturing,1997,56.44,0.86,0.85,246,37611,128924,4.49,378.09,182207
Other service,1997,40.7,0.95,0.95,36,1453,23289,0.33,11.72,87832
Retail,1997,44.44,0.7,0.7,486,32208,170990,2.57,166.25,245183
z. Other industries,1997,52.03,1.08,1.05,473,39696,78704,2.07,165.42,258830
Construction,1997,57.95,0.83,0.83,40,5258,63253,0.94,74.45,192511
Recreation & Culture,1997,50.2,1.03,1.03,128,11196,30513,0.52,26.44,67340
Hospitality,1997,23.77,0.5,0.5,265,14022,82602,1.56,46.36,129186
Wholesale,1997,98.92,1.13,1.13,70,14320,64870,1.04,154.02,118503
IT,1997,40.62,0.73,0.73,56,3810,22512,0.32,19.97,83971
Automotives,1997,88.73,0.92,0.92,85,10848,46774,0.59,74.42,78209
Other business,1997,48.38,0.91,0.91,173,7858,127675,2.53,95.36,269546
Transport,1997,40.89,0.7,0.7,166,23603,19915,0.5,28.63,51514
Construction,1998,56.89,0.8,0.8,44,5479,59746,0.99,80.05,204724
Wholesale,1998,101.53,1.13,1.13,89,20597,62638,1,153.95,117096
z. Other industries,1998,51.26,1.05,1.02,499,38131,75994,2.03,174.18,258445
Automotives,1998,89.5,0.9,0.9,68,14837,44707,0.58,79.55,78142
Other business,1998,48.23,0.89,0.89,142,4601,127772,2.48,102.83,290270
Other service,1998,42.9,0.94,0.94,63,4049,22877,0.35,13.98,88442
Hospitality,1998,24.38,0.5,0.5,360,9252,81161,1.61,46.34,133698
IT,1998,39.03,0.7,0.7,46,3828,21926,0.36,23.6,105488
Manufacturing,1998,57.28,0.86,0.85,231,37588,123588,4.4,394.51,185450
Recreation & Culture,1998,51.72,1.05,1.05,117,12212,30549,0.52,27.8,70012
Transport,1998,42.67,0.7,0.7,189,11458,19392,0.53,28.2,51725
Retail,1998,46.12,0.71,0.71,520,40407,166304,2.63,187.84,244179
Construction,1999,57.44,0.79,0.79,42,6858,58536,1.04,89.35,210452
IT,1999,41.59,0.71,0.71,43,4553,21330,0.39,28.13,121769
Retail,1999,48.09,0.71,0.71,555,55447,161345,2.64,210.13,240219
Automotives,1999,92.31,0.91,0.91,68,11542,42841,0.56,78.74,77233
Transport,1999,44.68,0.71,0.71,199,11446,18871,0.53,30.11,51422
z. Other industries,1999,51.09,1.04,1.01,511,40586,74648,2.03,173.64,255529
Manufacturing,1999,59.17,0.87,0.86,232,40047,118131,4.33,409.01,182079
Other service,1999,43.69,0.92,0.92,48,1202,21885,0.34,12.52,88228
Other business,1999,50.01,0.89,0.89,151,8951,124688,2.58,119.09,302737
Recreation & Culture,1999,53.44,1.06,1.06,119,12937,30521,0.54,30.59,70481
Hospitality,1999,25.87,0.5,0.5,362,12934,78783,1.63,51,135283
