dateUTC,value,employees
04/10/2020,0.152,0-9
01/11/2020,0.116,0-9
15/11/2020,0.149,0-9
29/11/2020,0.146,0-9
13/12/2020,0.125,0-9
23/12/2020,0.112,0-9
10/01/2021,0.154,0-9
24/01/2021,0.157,0-9
07/02/2021,0.145,0-9
21/02/2021,0.127,0-9
07/03/2021,0.13,0-9
21/03/2021,0.107,0-9
04/04/2021,0.127,0-9
18/04/2021,0.108,0-9
02/05/2021,0.092,0-9
16/05/2021,0.076,0-9
30/05/2021,0.077,0-9
13/06/2021,0.079,0-9
27/06/2021,0.089,0-9
25/07/2021,0.068,0-9
22/08/2021,0.066,0-9
19/09/2021,0.061,0-9
17/10/2021,0.045,0-9
04/10/2020,0.082,10-49
01/11/2020,0.079,10-49
15/11/2020,0.094,10-49
29/11/2020,0.079,10-49
13/12/2020,0.087,10-49
23/12/2020,0.08,10-49
10/01/2021,0.104,10-49
24/01/2021,0.105,10-49
07/02/2021,0.1,10-49
21/02/2021,0.092,10-49
07/03/2021,0.084,10-49
21/03/2021,0.076,10-49
04/04/2021,0.057,10-49
18/04/2021,0.056,10-49
02/05/2021,0.04,10-49
16/05/2021,0.036,10-49
30/05/2021,0.033,10-49
13/06/2021,0.039,10-49
27/06/2021,0.031,10-49
25/07/2021,0.029,10-49
22/08/2021,0.032,10-49
19/09/2021,0.029,10-49
17/10/2021,0.02,10-49
04/10/2020,0.002,50-99
01/11/2020,0.002,50-99
15/11/2020,0.009,50-99
29/11/2020,0.006,50-99
13/12/2020,0.009,50-99
23/12/2020,0.005,50-99
10/01/2021,0.007,50-99
24/01/2021,0.007,50-99
07/02/2021,0.008,50-99
21/02/2021,0.004,50-99
07/03/2021,0.006,50-99
21/03/2021,0.006,50-99
04/04/2021,0.003,50-99
18/04/2021,0.004,50-99
02/05/2021,0.002,50-99
16/05/2021,0.003,50-99
30/05/2021,0.003,50-99
13/06/2021,0.004,50-99
27/06/2021,0.005,50-99
25/07/2021,0.003,50-99
22/08/2021,0.002,50-99
19/09/2021,0.003,50-99
17/10/2021,0.002,50-99
04/10/2020,0.031,100-249
01/11/2020,0.031,100-249
15/11/2020,0.033,100-249
29/11/2020,0.033,100-249
13/12/2020,0.028,100-249
23/12/2020,0.026,100-249
10/01/2021,0.037,100-249
24/01/2021,0.033,100-249
07/02/2021,0.037,100-249
21/02/2021,0.034,100-249
07/03/2021,0.036,100-249
21/03/2021,0.029,100-249
04/04/2021,0.029,100-249
18/04/2021,0.03,100-249
02/05/2021,0.019,100-249
16/05/2021,0.016,100-249
30/05/2021,0.018,100-249
13/06/2021,0.017,100-249
27/06/2021,0.013,100-249
25/07/2021,0.01,100-249
22/08/2021,0.01,100-249
19/09/2021,0.006,100-249
17/10/2021,0.008,100-249
04/10/2020,0.016,250+
01/11/2020,0.007,250+
15/11/2020,0.007,250+
29/11/2020,0.008,250+
13/12/2020,0.007,250+
23/12/2020,0.007,250+
10/01/2021,0.006,250+
24/01/2021,0.008,250+
07/02/2021,0.009,250+
21/02/2021,0.005,250+
07/03/2021,0.007,250+
21/03/2021,0.004,250+
04/04/2021,0.006,250+
18/04/2021,0.004,250+
02/05/2021,0.003,250+
16/05/2021,0.004,250+
30/05/2021,0.002,250+
13/06/2021,0.004,250+
27/06/2021,0.005,250+
25/07/2021,0.005,250+
22/08/2021,0.003,250+
19/09/2021,0.001,250+
17/10/2021,0.001,250+
04/10/2020,0.145,All firms
01/11/2020,0.112,All firms
15/11/2020,0.142,All firms
29/11/2020,0.139,All firms
13/12/2020,0.12,All firms
23/12/2020,0.108,All firms
10/01/2021,0.147,All firms
24/01/2021,0.151,All firms
07/02/2021,0.139,All firms
21/02/2021,0.122,All firms
07/03/2021,0.124,All firms
21/03/2021,0.104,All firms
04/04/2021,0.119,All firms
18/04/2021,0.102,All firms
02/05/2021,0.087,All firms
16/05/2021,0.071,All firms
30/05/2021,0.072,All firms
13/06/2021,0.074,All firms
27/06/2021,0.082,All firms
25/07/2021,0.063,All firms
22/08/2021,0.063,All firms
19/09/2021,0.057,All firms
17/10/2021,0.042,All firms
