Date,Value,Detail
1997-04-01,24761,CG: Total expenditure: £m CPNSA
1997-05-01,24851,
1997-06-01,26538,
1997-07-01,25910,
1997-08-01,25869,
1997-09-01,26144,
1997-10-01,25367,
1997-11-01,25836,
1997-12-01,27919,
1998-01-01,26844,
1998-02-01,27948,
1998-03-01,28513,
1998-04-01,26105,
1998-05-01,26405,
1998-06-01,26161,
1998-07-01,26241,
1998-08-01,26632,
1998-09-01,26487,
1998-10-01,27367,
1998-11-01,26730,
1998-12-01,28207,
1999-01-01,26986,
1999-02-01,28490,
1999-03-01,29349,
1999-04-01,26930,
1999-05-01,26784,
1999-06-01,27040,
1999-07-01,27542,
1999-08-01,27983,
1999-09-01,28062,
1999-10-01,28613,
1999-11-01,28966,
1999-12-01,28367,
2000-01-01,28590,
2000-02-01,29132,
2000-03-01,29483,
2000-04-01,32660,
2000-05-01,20394,
2000-06-01,32363,
2000-07-01,32290,
2000-08-01,33497,
2000-09-01,23627,
2000-10-01,29942,
2000-11-01,29851,
2000-12-01,31125,
2001-01-01,31337,
2001-02-01,30895,
2001-03-01,30983,
2001-04-01,30732,
2001-05-01,31881,
2001-06-01,30418,
2001-07-01,32024,
2001-08-01,28813,
2001-09-01,31964,
2001-10-01,32179,
2001-11-01,31087,
2001-12-01,34785,
2002-01-01,34617,
2002-02-01,32801,
2002-03-01,33696,
2002-04-01,34368,
2002-05-01,35969,
2002-06-01,30666,
2002-07-01,33985,
2002-08-01,32856,
2002-09-01,35318,
2002-10-01,33209,
2002-11-01,35733,
2002-12-01,34981,
2003-01-01,36288,
2003-02-01,35512,
2003-03-01,38370,
2003-04-01,36662,
2003-05-01,38573,
2003-06-01,37312,
2003-07-01,37093,
2003-08-01,37081,
2003-09-01,38107,
2003-10-01,36562,
2003-11-01,36498,
2003-12-01,40739,
2004-01-01,39023,
2004-02-01,38097,
2004-03-01,40412,
2004-04-01,41337,
2004-05-01,42175,
2004-06-01,36733,
2004-07-01,38425,
2004-08-01,41525,
2004-09-01,42059,
2004-10-01,37713,
2004-11-01,42812,
2004-12-01,43192,
2005-01-01,40534,
2005-02-01,44147,
2005-03-01,45332,
2005-04-01,40328,
2005-05-01,45742,
2005-06-01,40674,
2005-07-01,41994,
2005-08-01,42963,
2005-09-01,44503,
2005-10-01,42613,
2005-11-01,45814,
2005-12-01,45536,
2006-01-01,43820,
2006-02-01,45194,
2006-03-01,47359,
2006-04-01,46304,
2006-05-01,46226,
2006-06-01,44977,
2006-07-01,44196,
2006-08-01,45163,
2006-09-01,47923,
2006-10-01,43274,
2006-11-01,46444,
2006-12-01,48261,
2007-01-01,46775,
2007-02-01,45559,
2007-03-01,50292,
2007-04-01,46669,
2007-05-01,49726,
2007-06-01,46288,
2007-07-01,47584,
2007-08-01,47813,
2007-09-01,50498,
2007-10-01,47507,
2007-11-01,49672,
2007-12-01,50394,
2008-01-01,49425,
2008-02-01,48767,
2008-03-01,58654,
2008-04-01,51727,
2008-05-01,51686,
2008-06-01,49917,
2008-07-01,49074,
2008-08-01,49903,
2008-09-01,72276,
2008-10-01,53881,
2008-11-01,52122,
2008-12-01,57301,
2009-01-01,56603,
2009-02-01,52099,
2009-03-01,61313,
2009-04-01,54118,
2009-05-01,53749,
2009-06-01,56265,
2009-07-01,53186,
2009-08-01,51773,
2009-09-01,57499,
2009-10-01,54809,
2009-11-01,52948,
2009-12-01,62417,
2010-01-01,57304,
2010-02-01,56668,
2010-03-01,64886,
2010-04-01,58091,
2010-05-01,57824,
2010-06-01,56462,
2010-07-01,56133,
2010-08-01,55006,
2010-09-01,62220,
2010-10-01,56147,
2010-11-01,57566,
2010-12-01,61645,
2011-01-01,57767,
2011-02-01,57038,
2011-03-01,65513,
2011-04-01,60646,
2011-05-01,56786,
2011-06-01,58677,
2011-07-01,54346,
2011-08-01,57583,
2011-09-01,60091,
