Year,Value,Detail
1946,-275,CG: Current Budget Deficit: £m CPNSA
1947,246,
1948,593,
1949,711,
1950,717,
1951,624,
1952,349,
1953,224,
1954,271,
1955,617,
1956,412,
1957,526,
1958,623,
1959,525,
1960,266,
1961,512,
1962,845,
1963,739,
1964,1055,
1965,1274,
1966,1603,
1967,1718,
1968,2422,
1969,3726,
1970,4381,
1971,3663,
1972,2126,
1973,1918,
1974,2163,
1975,466,
1976,-967,
1977,77,
1978,-2081,
1979,-1434,
1980,-542,
1981,-2972,
1982,-1775,
1983,-2368,
1984,-2558,
1985,-913,
1986,-1664,
1987,-1144,
1988,9093,
1989,14257,
1990,7230,
1991,-2105,
1992,-25377,
1993,-37527,
1994,-32607,
1995,-26457,
1996,-21551,
1997,-8409,
1998,8688,
1999,18440,
2000,28347,
2001,18996,
2002,-4180,
2003,-18679,
2004,-16347,
2005,-14439,
2006,-15182,
2007,-12528,
2008,-37657,
2009,-101889,
2010,-108019,
2011,-89211,
2012,-101524,
2013,-69300,
2014,-72267,
2015,-51110,
2016,-24326,
2017,-3475,
2018,792,
2019,2720,
2020,-212849,
