Date,Value,Detail
1956-01-01,-3.8,PS: Current Budget Deficit (excl. PS Banks) as a % of GDP: CPNSA
1957-01-01,-3.1,
1958-01-01,-3.2,
1959-01-01,-3.1,
1960-01-01,-1.2,
1961-01-01,-0.9,
1962-01-01,-1.9,
1963-01-01,-2.1,
1964-01-01,-2.2,
1965-01-01,-3.6,
1966-01-01,-4,
1967-01-01,-3.9,
1968-01-01,-3.6,
1969-01-01,-6,
1970-01-01,-7.7,
1971-01-01,-6.7,
1972-01-01,-4.3,
1973-01-01,-2.2,
1974-01-01,-1.1,
1975-01-01,0.1,
1976-01-01,0.7,
1977-01-01,0.4,
1978-01-01,0.7,
1979-01-01,1.8,
1980-01-01,1.2,
1981-01-01,2.1,
1982-01-01,0.6,
1983-01-01,0.7,
1984-01-01,1.2,
1985-01-01,1.4,
1986-01-01,0.6,
1987-01-01,1,
1988-01-01,0.9,
1989-01-01,-0.9,
1990-01-01,-0.6,
1991-01-01,0.2,
1992-01-01,2.2,
1993-01-01,5.3,
1994-01-01,5.9,
1995-01-01,4.6,
1996-01-01,3.4,
1997-01-01,2.8,
1998-01-01,0.7,
1999-01-01,-0.5,
2000-01-01,-1.5,
2001-01-01,-1.8,
2002-01-01,-0.5,
2003-01-01,1.6,
2004-01-01,1.7,
2005-01-01,1.8,
2006-01-01,1.3,
2007-01-01,0.9,
2008-01-01,1.2,
2009-01-01,4.5,
2010-01-01,7.2,
2011-01-01,6.2,
2012-01-01,5.4,
2013-01-01,5.3,
2014-01-01,4.2,
2015-01-01,3.2,
2016-01-01,2.5,
2017-01-01,0.7,
2018-01-01,0.4,
2019-01-01,-0.2,
2020-01-01,0.6,
