Date,Value,Detail
1955-01-01,116532,"GDP: chained volume measures (£m, seasonally adjusted)"
1955-04-01,116637,
1955-07-01,118997,
1955-10-01,118351,
1956-01-01,119735,
1956-04-01,119475,
1956-07-01,119357,
1956-10-01,119891,
1957-01-01,122290,
1957-04-01,122303,
1957-07-01,121553,
1957-10-01,121774,
1958-01-01,124411,
1958-04-01,121520,
1958-07-01,124197,
1958-10-01,124341,
1959-01-01,125143,
1959-04-01,127218,
1959-07-01,129949,
1959-10-01,133277,
1960-01-01,136599,
1960-04-01,135553,
1960-07-01,137604,
1960-10-01,138426,
1961-01-01,140702,
1961-04-01,141275,
1961-07-01,140555,
1961-10-01,140311,
1962-01-01,140941,
1962-04-01,142246,
1962-07-01,143137,
1962-10-01,142573,
1963-01-01,143171,
1963-04-01,149459,
1963-07-01,150182,
1963-10-01,153587,
1964-01-01,154560,
1964-04-01,157401,
1964-07-01,158019,
1964-10-01,160431,
1965-01-01,159955,
1965-04-01,160049,
1965-07-01,161365,
1965-10-01,162354,
1966-01-01,162611,
1966-04-01,163584,
1966-07-01,164093,
1966-10-01,163406,
1967-01-01,165604,
1967-04-01,167950,
1967-07-01,168685,
1967-10-01,169526,
1968-01-01,175742,
1968-04-01,175014,
1968-07-01,178468,
1968-10-01,179160,
1969-01-01,178747,
1969-04-01,180122,
1969-07-01,181119,
1969-10-01,181982,
1970-01-01,180827,
1970-04-01,185094,
1970-07-01,186934,
1970-10-01,188565,
1971-01-01,187635,
1971-04-01,190988,
1971-07-01,194393,
1971-10-01,195143,
1972-01-01,195374,
1972-04-01,200521,
1972-07-01,201060,
1972-10-01,204205,
1973-01-01,214333,
1973-04-01,214628,
1973-07-01,212585,
1973-10-01,211665,
1974-01-01,205849,
1974-04-01,208808,
1974-07-01,210128,
1974-10-01,207038,
1975-01-01,207156,
1975-04-01,203755,
1975-07-01,203060,
1975-10-01,205390,
1976-01-01,208792,
1976-04-01,208498,
1976-07-01,211146,
1976-10-01,215617,
1977-01-01,215667,
1977-04-01,214117,
1977-07-01,215574,
1977-10-01,219248,
1978-01-01,221203,
1978-04-01,223770,
1978-07-01,226852,
1978-10-01,228903,
1979-01-01,228088,
1979-04-01,238126,
1979-07-01,232811,
1979-10-01,235228,
1980-01-01,232982,
1980-04-01,228337,
1980-07-01,228108,
1980-10-01,225615,
1981-01-01,225484,
1981-04-01,226006,
1981-07-01,228469,
1981-10-01,228748,
1982-01-01,229165,
1982-04-01,231570,
1982-07-01,232134,
1982-10-01,233752,
1983-01-01,238082,
1983-04-01,240053,
1983-07-01,242654,
1983-10-01,244720,
1984-01-01,246424,
1984-04-01,244265,
1984-07-01,245827,
1984-10-01,250650,
1985-01-01,252649,
1985-04-01,258038,
1985-07-01,258279,
1985-10-01,258907,
1986-01-01,261820,
1986-04-01,263767,
1986-07-01,264966,
1986-10-01,269702,
1987-01-01,272205,
1987-04-01,276199,
1987-07-01,282910,
1987-10-01,286114,
1988-01-01,291209,
1988-04-01,292929,
1988-07-01,297391,
1988-10-01,299952,
1989-01-01,301273,
1989-04-01,303257,
1989-07-01,303558,
1989-10-01,303849,
1990-01-01,305893,
1990-04-01,307471,
1990-07-01,304257,
1990-10-01,303210,
1991-01-01,302325,
1991-04-01,301943,
1991-07-01,301285,
1991-10-01,301811,
1992-01-01,301831,
1992-04-01,301474,
1992-07-01,303395,
1992-10-01,305506,
1993-01-01,307712,
1993-04-01,309236,
1993-07-01,311683,
1993-10-01,313765,
1994-01-01,317468,
1994-04-01,321166,
1994-07-01,324811,
1994-10-01,326734,
1995-01-01,328056,
1995-04-01,329292,
1995-07-01,332436,
1995-10-01,333055,
1996-01-01,334982,
1996-04-01,336145,
1996-07-01,340034,
1996-10-01,344637,
1997-01-01,351195,
1997-04-01,354286,
1997-07-01,356780,
1997-10-01,360993,
1998-01-01,364276,
1998-04-01,367660,
1998-07-01,370263,
1998-10-01,373826,
1999-01-01,376026,
1999-04-01,376682,
1999-07-01,383148,
1999-10-01,388806,
2000-01-01,391937,
2000-04-01,394312,
2000-07-01,395469,
2000-10-01,396403,
2001-01-01,401021,
2001-04-01,404118,
2001-07-01,407236,
2001-10-01,408833,
2002-01-01,410434,
2002-04-01,412445,
2002-07-01,415187,
2002-10-01,418465,
2003-01-01,421580,
2003-04-01,425428,
2003-07-01,430274,
2003-10-01,434277,
2004-01-01,435802,
2004-04-01,437406,
2004-07-01,438191,
2004-10-01,439291,
2005-01-01,442793,
2005-04-01,447996,
2005-07-01,452721,
2005-10-01,458925,
2006-01-01,461059,
2006-04-01,462305,
2006-07-01,462734,
2006-10-01,464891,
2007-01-01,469274,
2007-04-01,471920,
2007-07-01,475530,
2007-10-01,477958,
2008-01-01,480523,
2008-04-01,477834,
2008-07-01,470368,
2008-10-01,460676,
2009-01-01,452896,
2009-04-01,452036,
2009-07-01,452595,
2009-10-01,454145,
2010-01-01,457058,
2010-04-01,461765,
2010-07-01,465134,
2010-10-01,465290,
2011-01-01,466970,
2011-04-01,467370,
2011-07-01,468942,
2011-10-01,469556,
2012-01-01,472809,
2012-04-01,472114,
2012-07-01,477869,
2012-10-01,476834,
2013-01-01,479357,
2013-04-01,483211,
2013-07-01,487728,
2013-10-01,490859,
2014-01-01,494629,
2014-04-01,497849,
2014-07-01,500658,
2014-10-01,503589,
2015-01-01,506314,
2015-04-01,510095,
2015-07-01,512070,
2015-10-01,515430,
2016-01-01,516456,
2016-04-01,518794,
2016-07-01,520379,
2016-10-01,523484,
2017-01-01,526081,
2017-04-01,527622,
2017-07-01,529856,
2017-10-01,531737,
2018-01-01,532104,
2018-04-01,534140,
2018-07-01,537326,
2018-10-01,538222,
2019-01-01,541195,
2019-04-01,541944,
2019-07-01,544639,
2019-10-01,544733,
2020-01-01,529031,
2020-04-01,428307,
2020-07-01,497401,
2020-10-01,502253,
