Date,Measure,Value
1963-01-01,Nominal GDP,7363
1963-04-01,Nominal GDP,7748
1963-07-01,Nominal GDP,7868
1963-10-01,Nominal GDP,8112
1964-01-01,Nominal GDP,8143
1964-04-01,Nominal GDP,8432
1964-07-01,Nominal GDP,8616
1964-10-01,Nominal GDP,8852
1965-01-01,Nominal GDP,9018
1965-04-01,Nominal GDP,9062
1965-07-01,Nominal GDP,9283
1965-10-01,Nominal GDP,9463
1966-01-01,Nominal GDP,9606
1966-04-01,Nominal GDP,9774
1966-07-01,Nominal GDP,9956
1966-10-01,Nominal GDP,10058
1967-01-01,Nominal GDP,10160
1967-04-01,Nominal GDP,10415
1967-07-01,Nominal GDP,10487
1967-10-01,Nominal GDP,10622
1968-01-01,Nominal GDP,11101
1968-04-01,Nominal GDP,11234
1968-07-01,Nominal GDP,11589
1968-10-01,Nominal GDP,11885
1969-01-01,Nominal GDP,12092
1969-04-01,Nominal GDP,12274
1969-07-01,Nominal GDP,12545
1969-10-01,Nominal GDP,12874
1970-01-01,Nominal GDP,13228
1970-04-01,Nominal GDP,13806
1970-07-01,Nominal GDP,14258
1970-10-01,Nominal GDP,14765
1971-01-01,Nominal GDP,14992
1971-04-01,Nominal GDP,15499
1971-07-01,Nominal GDP,15996
1971-10-01,Nominal GDP,16398
1972-01-01,Nominal GDP,16596
1972-04-01,Nominal GDP,17383
1972-07-01,Nominal GDP,17753
1972-10-01,Nominal GDP,18821
1973-01-01,Nominal GDP,20040
1973-04-01,Nominal GDP,19862
1973-07-01,Nominal GDP,20547
1973-10-01,Nominal GDP,21297
1974-01-01,Nominal GDP,21119
1974-04-01,Nominal GDP,22634
1974-07-01,Nominal GDP,23880
1974-10-01,Nominal GDP,24979
1975-01-01,Nominal GDP,26799
1975-04-01,Nominal GDP,28112
1975-07-01,Nominal GDP,29242
1975-10-01,Nominal GDP,30874
1976-01-01,Nominal GDP,32430
1976-04-01,Nominal GDP,33299
1976-07-01,Nominal GDP,34523
1976-10-01,Nominal GDP,36649
1977-01-01,Nominal GDP,38007
1977-04-01,Nominal GDP,39205
1977-07-01,Nominal GDP,40298
1977-10-01,Nominal GDP,42121
1978-01-01,Nominal GDP,44092
1978-04-01,Nominal GDP,45856
1978-07-01,Nominal GDP,47154
1978-10-01,Nominal GDP,48858
1979-01-01,Nominal GDP,50402
1979-04-01,Nominal GDP,53904
1979-07-01,Nominal GDP,56698
1979-10-01,Nominal GDP,59717
1980-01-01,Nominal GDP,62025
1980-04-01,Nominal GDP,63624
1980-07-01,Nominal GDP,65948
1980-10-01,Nominal GDP,68066
1981-01-01,Nominal GDP,69863
1981-04-01,Nominal GDP,71249
1981-07-01,Nominal GDP,73221
1981-10-01,Nominal GDP,75507
1982-01-01,Nominal GDP,77381
1982-04-01,Nominal GDP,78901
1982-07-01,Nominal GDP,80348
1982-10-01,Nominal GDP,82582
1983-01-01,Nominal GDP,85542
1983-04-01,Nominal GDP,86316
1983-07-01,Nominal GDP,88459
1983-10-01,Nominal GDP,90734
1984-01-01,Nominal GDP,91524
1984-04-01,Nominal GDP,93419
1984-07-01,Nominal GDP,94742
1984-10-01,Nominal GDP,97959
1985-01-01,Nominal GDP,98784
1985-04-01,Nominal GDP,103424
1985-07-01,Nominal GDP,105007
1985-10-01,Nominal GDP,107213
1986-01-01,Nominal GDP,108513
1986-04-01,Nominal GDP,110330
1986-07-01,Nominal GDP,112166
1986-10-01,Nominal GDP,115626
1987-01-01,Nominal GDP,117982
1987-04-01,Nominal GDP,121829
1987-07-01,Nominal GDP,126800
1987-10-01,Nominal GDP,129529
1988-01-01,Nominal GDP,133105
1988-04-01,Nominal GDP,136147
1988-07-01,Nominal GDP,140831
1988-10-01,Nominal GDP,145524
1989-01-01,Nominal GDP,148564
1989-04-01,Nominal GDP,151393
1989-07-01,Nominal GDP,155573
1989-10-01,Nominal GDP,158994
1990-01-01,Nominal GDP,162181
1990-04-01,Nominal GDP,166693
1990-07-01,Nominal GDP,169806
1990-10-01,Nominal GDP,170251
1991-01-01,Nominal GDP,173302
1991-04-01,Nominal GDP,175408
1991-07-01,Nominal GDP,177054
1991-10-01,Nominal GDP,179700
1992-01-01,Nominal GDP,181341
1992-04-01,Nominal GDP,181762
1992-07-01,Nominal GDP,182216
1992-10-01,Nominal GDP,185259
1993-01-01,Nominal GDP,189690
1993-04-01,Nominal GDP,190122
1993-07-01,Nominal GDP,193481
1993-10-01,Nominal GDP,195866
1994-01-01,Nominal GDP,198814
1994-04-01,Nominal GDP,200550
1994-07-01,Nominal GDP,202863
1994-10-01,Nominal GDP,207259
1995-01-01,Nominal GDP,208283
1995-04-01,Nominal GDP,210739
1995-07-01,Nominal GDP,214461
1995-10-01,Nominal GDP,216698
1996-01-01,Nominal GDP,220219
1996-04-01,Nominal GDP,224881
1996-07-01,Nominal GDP,229294
1996-10-01,Nominal GDP,232871
1997-01-01,Nominal GDP,233985
1997-04-01,Nominal GDP,235563
1997-07-01,Nominal GDP,242589
1997-10-01,Nominal GDP,239613
1998-01-01,Nominal GDP,243273
1998-04-01,Nominal GDP,246876
1998-07-01,Nominal GDP,250242
1998-10-01,Nominal GDP,256856
1999-01-01,Nominal GDP,257971
1999-04-01,Nominal GDP,256599
1999-07-01,Nominal GDP,260238
1999-10-01,Nominal GDP,264944
