Date,Value,Detail,Source
1975-01-31,10.5854,Monthly average rate of discount - 3 month Treasury bills - Sterling,Bank of England
1975-02-28,9.877,,
1975-03-31,9.4943,,
1975-04-30,9.258,,
1975-05-31,9.4685,,
1975-06-30,9.4259,,
1975-07-31,9.8556,,
1975-08-31,10.4299,,
1975-09-30,10.3574,,
1975-10-31,11.4242,,
1975-11-30,11.1011,,
1975-12-31,10.8045,,
1976-01-31,9.9934,,
1976-02-29,8.7602,,
1976-03-31,8.461,,
1976-04-30,9.0649,,
1976-05-31,10.4423,,
1976-06-30,10.9605,,
1976-07-31,10.8681,,
1976-08-31,10.8778,,
1976-09-30,12.1156,,
1976-10-31,14.4033,,
1976-11-30,14.1464,,
1976-12-31,13.7798,,
1977-01-31,12.7331,,
1977-02-28,11.0232,,
1977-03-31,9.6873,,
1977-04-30,8.1127,,
1977-05-31,7.3993,,
1977-06-30,7.4511,,
1977-07-31,7.4232,,
1977-08-31,6.5345,,
1977-09-30,5.6845,,
1977-10-31,4.5263,,
1977-11-30,4.9525,,
1977-12-31,6.3684,,
1978-01-31,5.8113,,
1978-02-28,5.9577,,
1978-03-31,5.9256,,
1978-04-30,6.7329,,
1978-05-31,8.4051,,
1978-06-30,9.172,,
1978-07-31,9.2195,,
1978-08-31,8.9296,,
1978-09-30,8.9617,,
1978-10-31,9.86,,
1978-11-30,11.524,,
1978-12-31,11.5656,,
1979-01-31,11.8588,,
1979-02-28,12.635,,
1979-03-31,11.348,,
1979-04-30,11.316,,
1979-05-31,11.3636,,
1979-06-30,12.8529,,
1979-07-31,13.3234,,
1979-08-31,13.3175,,
1979-09-30,13.382,,
1979-10-31,13.3805,,
1979-11-30,15.3303,,
1979-12-31,15.8968,,
1980-01-31,15.8716,,
1980-02-29,16.1333,,
1980-03-31,16.1813,,
1980-04-30,16.1663,,
1980-05-31,16.0912,,
1980-06-30,15.7996,,
1980-07-31,14.5801,,
1980-08-31,14.9039,,
1980-09-30,14.4045,,
1980-10-31,14.2947,,
1980-11-30,13.9456,,
1980-12-31,13.0839,,
1981-01-31,12.8241,,
1981-02-28,12.0883,,
1981-03-31,11.5347,,
1981-04-30,11.3189,,
1981-05-31,11.3631,,
1981-06-30,12.0885,,
1981-07-31,13.15,,
1981-08-31,13.4163,,
1981-09-30,13.9623,,
1981-10-31,15.5491,,
1981-11-30,14.0751,,
1981-12-31,14.489,,
1982-01-31,14.0358,,
1982-02-28,13.2963,,
1982-03-31,12.4833,,
1982-04-30,12.8934,,
1982-05-31,12.5338,,
1982-06-30,12.2303,,
1982-07-31,11.2792,,
1982-08-31,10.0784,,
1982-09-30,9.8238,,
1982-10-31,8.7581,,
1982-11-30,9.2226,,
1982-12-31,9.912,,
1983-01-31,10.5933,,
1983-02-28,10.7396,,
1983-03-31,10.4159,,
1983-04-30,9.7473,,
1983-05-31,9.6969,,
1983-06-30,9.4298,,
1983-07-31,9.3929,,
1983-08-31,9.3427,,
1983-09-30,9.1576,,
1983-10-31,8.8414,,
1983-11-30,8.8427,,
1983-12-31,8.8702,,
1984-01-31,8.8686,,
1984-02-29,8.8543,,
