Date,Country,Value,Detail
2018-04-01,Canada,55.912,Government debt (% GDP)
2018-07-01,Canada,54.795,"Source: OECD, CEIC"
2018-10-01,Canada,54.562,
2019-01-01,Canada,55.85,
2019-04-01,Canada,52.682,
2019-07-01,Canada,51.862,
2019-10-01,Canada,53.895,
2020-01-01,Canada,54.206,
2020-04-01,Canada,53.168,
2020-07-01,Canada,52.723,
2020-10-01,Canada,53.98,
2021-01-01,Canada,72.133,
2018-04-01,France,98.854,
2018-07-01,France,98.859,
2018-10-01,France,99.143,
2019-01-01,France,97.952,
2019-04-01,France,99.124,
2019-07-01,France,99.064,
2019-10-01,France,100.025,
2020-01-01,France,97.615,
2020-04-01,France,101.381,
2020-07-01,France,114.041,
2020-10-01,France,116.359,
2021-01-01,France,115.718,
2018-04-01,Germany,63.973,
2018-07-01,Germany,62.917,
2018-10-01,Germany,62.593,
2019-01-01,Germany,61.796,
2019-04-01,Germany,61.649,
2019-07-01,Germany,61.078,
2019-10-01,Germany,61.032,
2020-01-01,Germany,59.658,
2020-04-01,Germany,60.887,
2020-07-01,Germany,67.303,
2020-10-01,Germany,69.996,
2021-01-01,Germany,69.704,
2018-04-01,Italy,135.62,
2018-07-01,Italy,136.094,
2018-10-01,Italy,136.159,
2019-01-01,Italy,134.809,
2019-04-01,Italy,136.388,
2019-07-01,Italy,137.733,
2019-10-01,Italy,136.999,
2020-01-01,Italy,134.708,
2020-04-01,Italy,137.938,
2020-07-01,Italy,149.513,
2020-10-01,Italy,154.427,
2021-01-01,Italy,155.562,
2018-04-01,Japan,195.76,
2018-07-01,Japan,195.323,
2018-10-01,Japan,196.056,
2019-01-01,Japan,197.869,
2019-04-01,Japan,198.152,
2019-07-01,Japan,198.037,
2019-10-01,Japan,197.05,
2020-01-01,Japan,197.906,
2020-04-01,Japan,199.139,
2020-07-01,Japan,211.849,
2020-10-01,Japan,220.073,
2021-01-01,Japan,224.817,
2018-04-01,UK,84.678,
2018-07-01,UK,85.555,
2018-10-01,UK,85.538,
2019-01-01,UK,85.775,
2019-04-01,UK,84.157,
2019-07-01,UK,84.859,
2019-10-01,UK,84.134,
2020-01-01,UK,85.268,
2020-04-01,UK,84.404,
2020-07-01,UK,96.176,
2020-10-01,UK,100.455,
2021-01-01,UK,104.472,
2018-04-01,United States,null,
2018-07-01,United States,105.514,
2018-10-01,United States,105.632,
2019-01-01,United States,106.609,
2019-04-01,United States,105.75,
2019-07-01,United States,104.751,
2019-10-01,United States,107.047,
2020-01-01,United States,108.25,
2020-04-01,United States,107.794,
2020-07-01,United States,125.531,
2020-10-01,United States,128.313,
2021-01-01,United States,132.533,
