Year,Country,Value,Detail
1960,Central Afican Republic,599.7006184,GDP per capita (constant 2010 USD)
1961,Central Afican Republic,619.3481094,"Source: World Bank, OECD"
1962,Central Afican Republic,586.4130765,
1963,Central Afican Republic,572.1408334,
1964,Central Afican Republic,573.4259224,
1965,Central Afican Republic,567.8846981,
1966,Central Afican Republic,560.1657485,
1967,Central Afican Republic,574.2505494,
1968,Central Afican Republic,570.3308618,
1969,Central Afican Republic,598.8714647,
1970,Central Afican Republic,601.9174485,
1971,Central Afican Republic,599.010003,
1972,Central Afican Republic,590.259555,
1973,Central Afican Republic,592.8193211,
1974,Central Afican Republic,620.7228119,
1975,Central Afican Republic,612.4224427,
1976,Central Afican Republic,633.1957636,
1977,Central Afican Republic,643.4745032,
1978,Central Afican Republic,636.3604197,
1979,Central Afican Republic,605.2733989,
1980,Central Afican Republic,562.7656721,
1981,Central Afican Republic,538.1493833,
1982,Central Afican Republic,562.0737065,
1983,Central Afican Republic,500.747565,
1984,Central Afican Republic,532.7295544,
1985,Central Afican Republic,539.7588305,
1986,Central Afican Republic,547.1065551,
1987,Central Afican Republic,510.4429154,
1988,Central Afican Republic,510.0880784,
1989,Central Afican Republic,510.3678832,
1990,Central Afican Republic,488.5528757,
1991,Central Afican Republic,473.740103,
1992,Central Afican Republic,431.2131063,
1993,Central Afican Republic,420.3143351,
1994,Central Afican Republic,428.4109679,
1995,Central Afican Republic,446.7665946,
1996,Central Afican Republic,417.8014197,
1997,Central Afican Republic,429.0256121,
1998,Central Afican Republic,438.456209,
1999,Central Afican Republic,443.7036796,
2000,Central Afican Republic,422.8646357,
2001,Central Afican Republic,432.060402,
2002,Central Afican Republic,438.2530515,
2003,Central Afican Republic,406.1534376,
2004,Central Afican Republic,421.9461496,
2005,Central Afican Republic,417.5021388,
2006,Central Afican Republic,428.9563274,
2007,Central Afican Republic,440.1771052,
2008,Central Afican Republic,441.2966121,
2009,Central Afican Republic,472.093434,
2010,Central Afican Republic,488.4217731,
2011,Central Afican Republic,505.2381543,
2012,Central Afican Republic,528.6454444,
2013,Central Afican Republic,335.3889546,
2014,Central Afican Republic,334.4408238,
2015,Central Afican Republic,346.6937467,
2016,Central Afican Republic,359.6003847,
2017,Central Afican Republic,371.1092243,
2018,Central Afican Republic,379.3652001,
2019,Central Afican Republic,384.2569678,
2020,Central Afican Republic,377.5273687,
1960,Democratic Republic of Congo,1038.932091,
1961,Democratic Republic of Congo,903.1275744,
1962,Democratic Republic of Congo,1067.064317,
1963,Democratic Republic of Congo,1094.01312,
1964,Democratic Republic of Congo,1039.408514,
1965,Democratic Republic of Congo,1021.608486,
1966,Democratic Republic of Congo,1060.77082,
