Year,Scenario,Value,Detail
1950,Plastic waste growth up to 2050,0,Accumulated ocean microplastics (tonnes)
1951,Plastic waste growth up to 2050,0,Source: Lebreton et al (2019)
1952,Plastic waste growth up to 2050,0,
1953,Plastic waste growth up to 2050,0,
1954,Plastic waste growth up to 2050,100,
1955,Plastic waste growth up to 2050,100,
1956,Plastic waste growth up to 2050,200,
1957,Plastic waste growth up to 2050,200,
1958,Plastic waste growth up to 2050,300,
1959,Plastic waste growth up to 2050,400,
1960,Plastic waste growth up to 2050,600,
1961,Plastic waste growth up to 2050,700,
1962,Plastic waste growth up to 2050,900,
1963,Plastic waste growth up to 2050,1200,
1964,Plastic waste growth up to 2050,1500,
1965,Plastic waste growth up to 2050,1800,
1966,Plastic waste growth up to 2050,2200,
1967,Plastic waste growth up to 2050,2700,
1968,Plastic waste growth up to 2050,3300,
1969,Plastic waste growth up to 2050,3900,
1970,Plastic waste growth up to 2050,4700,
1971,Plastic waste growth up to 2050,5600,
1972,Plastic waste growth up to 2050,6600,
1973,Plastic waste growth up to 2050,7900,
1974,Plastic waste growth up to 2050,9300,
1975,Plastic waste growth up to 2050,10800,
1976,Plastic waste growth up to 2050,12600,
1977,Plastic waste growth up to 2050,14600,
1978,Plastic waste growth up to 2050,16800,
1979,Plastic waste growth up to 2050,19300,
1980,Plastic waste growth up to 2050,22000,
1981,Plastic waste growth up to 2050,25000,
1982,Plastic waste growth up to 2050,28200,
1983,Plastic waste growth up to 2050,31700,
1984,Plastic waste growth up to 2050,35600,
1985,Plastic waste growth up to 2050,39700,
1986,Plastic waste growth up to 2050,44200,
1987,Plastic waste growth up to 2050,49100,
1988,Plastic waste growth up to 2050,54300,
1989,Plastic waste growth up to 2050,59900,
1990,Plastic waste growth up to 2050,65900,
1991,Plastic waste growth up to 2050,72400,
1992,Plastic waste growth up to 2050,79300,
1993,Plastic waste growth up to 2050,86800,
1994,Plastic waste growth up to 2050,94700,
1995,Plastic waste growth up to 2050,103100,
1996,Plastic waste growth up to 2050,112100,
1997,Plastic waste growth up to 2050,121700,
1998,Plastic waste growth up to 2050,132000,
1999,Plastic waste growth up to 2050,142900,
2000,Plastic waste growth up to 2050,154500,
2001,Plastic waste growth up to 2050,166900,
2002,Plastic waste growth up to 2050,180100,
2003,Plastic waste growth up to 2050,194100,
2004,Plastic waste growth up to 2050,209000,
2005,Plastic waste growth up to 2050,224700,
2006,Plastic waste growth up to 2050,241400,
2007,Plastic waste growth up to 2050,259200,
2008,Plastic waste growth up to 2050,277900,
2009,Plastic waste growth up to 2050,297700,
2010,Plastic waste growth up to 2050,318500,
2011,Plastic waste growth up to 2050,340400,
2012,Plastic waste growth up to 2050,363400,
2013,Plastic waste growth up to 2050,387600,
2014,Plastic waste growth up to 2050,413100,
2015,Plastic waste growth up to 2050,439800,
2016,Plastic waste growth up to 2050,467800,
2017,Plastic waste growth up to 2050,497200,
2018,Plastic waste growth up to 2050,528000,
2019,Plastic waste growth up to 2050,560200,
2020,Plastic waste growth up to 2050,594000,
2021,Plastic waste growth up to 2050,629300,
