River,Value,Detail
"Amazon (Brazil, Peru, Colombia, Ecuador)",38900,Plastic mass input from rivers (2015)
Brantas (Indonesia),38900,Source: Lebreton et al (2017)
"Cross (Nigeria, Cameroon)",40300,Tonnes
Dong (China),19100,
"Ganges (India, Bangladesh)",115000,
Hanjiang (China),12900,
Huangpu (China),40800,
Imo (Nigeria),21500,
Irrawaddy (Myanmar),35300,
Kwa Ibo (Nigeria),11900,
Magdalena (Colombia),16700,
"Mekong (Thailand, Cambodia, Laos, China, Myanmar, Vietnam)",22800,
Pasig (Philippines),38800,
Progo (Indonesia),12800,
Serayu (Indonesia),17100,
Solo (Indonesia),32500,
Tamsui (Taiwan),14700,
Xi (China),73900,
Yangtze (China),333000,
Zhujiang (China),13600,
