DATE,PCEPI_PC1
01/01/1960,1.69555
01/02/1960,1.70642
01/03/1960,1.69281
01/04/1960,1.86335
01/05/1960,1.91197
01/06/1960,1.66512
01/07/1960,1.63074
01/08/1960,1.65926
01/09/1960,1.45186
01/10/1960,1.32564
01/11/1960,1.60083
01/12/1960,1.50708
01/01/1961,1.57533
01/02/1961,1.56757
01/03/1961,1.45655
01/04/1961,1.02439
01/05/1961,0.9746
01/06/1961,0.98027
01/07/1961,1.02109
01/08/1961,0.93441
01/09/1961,0.98842
01/10/1961,0.86008
01/11/1961,0.53124
01/12/1961,0.53715
01/01/1962,0.71209
01/02/1962,0.88624
01/03/1962,1.07371
01/04/1962,1.2494
01/05/1962,1.26078
01/06/1962,1.27223
01/07/1962,0.99874
01/08/1962,1.05801
01/09/1962,1.4411
01/10/1962,1.34518
01/11/1962,1.41716
01/12/1962,1.3447
01/01/1963,1.40212
01/02/1963,1.237
01/03/1963,1.0265
01/04/1963,0.90611
01/05/1963,1.00083
01/06/1963,1.16099
01/07/1963,1.41776
01/08/1963,1.40979
01/09/1963,0.88789
01/10/1963,1.19697
01/11/1963,1.26118
01/12/1963,1.45125
01/01/1964,1.41819
01/02/1964,1.458
01/03/1964,1.59499
01/04/1964,1.67779
01/05/1964,1.52766
01/06/1964,1.44783
01/07/1964,1.37445
01/08/1964,1.3198
01/09/1964,1.49613
01/10/1964,1.35847
01/11/1964,1.35657
01/12/1964,1.35459
01/01/1965,1.25269
01/02/1965,1.14615
01/03/1965,1.22107
01/04/1965,1.30149
01/05/1965,1.5163
01/06/1965,1.67082
01/07/1965,1.61655
01/08/1965,1.55734
01/09/1965,1.45095
01/10/1965,1.42114
01/11/1965,1.44802
01/12/1965,1.6706
01/01/1966,1.68029
01/02/1966,2.05925
01/03/1966,2.17142
01/04/1966,2.3688
01/05/1966,2.26622
01/06/1966,2.22539
01/07/1966,2.34348
01/08/1966,2.71349
01/09/1966,2.99145
01/10/1966,3.22967
01/11/1966,3.21297
01/12/1966,3.04833
01/01/1967,2.93152
01/02/1967,2.62639
01/03/1967,2.44012
01/04/1967,2.24675
01/05/1967,2.32233
01/06/1967,2.38906
01/07/1967,2.54053
01/08/1967,2.46975
01/09/1967,2.45643
01/10/1967,2.46648
01/11/1967,2.65565
01/12/1967,2.60626
01/01/1968,3.07895
01/02/1968,3.37745
01/03/1968,3.65532
01/04/1968,3.81391
01/05/1968,3.99234
01/06/1968,3.99062
01/07/1968,3.96088
01/08/1968,4.05676
01/09/1968,4.10389
01/10/1968,4.27571
01/11/1968,4.28295
01/12/1968,4.33524
01/01/1969,4.25645
01/02/1969,4.09584
01/03/1969,4.24124
01/04/1969,4.37582
01/05/1969,4.41231
01/06/1969,4.58716
01/07/1969,4.71935
01/08/1969,4.58568
01/09/1969,4.65273
01/10/1969,4.54968
01/11/1969,4.64231
01/12/1969,4.91012
01/01/1970,4.87568
01/02/1970,5.02679
01/03/1970,4.79504
01/04/1970,4.86497
01/05/1970,4.77486
01/06/1970,4.54135
01/07/1970,4.46674
01/08/1970,4.44931
01/09/1970,4.48553
01/10/1970,4.64312
01/11/1970,4.6085
01/12/1970,4.58729
01/01/1971,4.43436
01/02/1971,4.32945
01/03/1971,4.41569
01/04/1971,4.29205
01/05/1971,4.39862
01/06/1971,4.58861
01/07/1971,4.52417
01/08/1971,4.55044
01/09/1971,4.24079
01/10/1971,3.88954
01/11/1971,3.69082
01/12/1971,3.64181
01/01/1972,3.84903
01/02/1972,3.94951
01/03/1972,3.75545
01/04/1972,3.51429
01/05/1972,3.30156
01/06/1972,3.00738
01/07/1972,3.0623
01/08/1972,3.06718
01/09/1972,3.37201
01/10/1972,3.32591
01/11/1972,3.42342
01/12/1972,3.34673
01/01/1973,3.23408
