area_code,areaname,areatype,pop_atrisk,pop_all,risk_share,areacode,lastweek,_merge,cases_pop
E06000034,Thurrock,E06,9988,172525,.05789306,E06000034,1770,matched (3),.010259382
E07000072,Epping Forest,E07,12186,131137,.09292572,E07000072,1256,matched (3),.0095777698
E07000068,Brentwood,E07,7663,76550,.1001045,E07000068,727,matched (3),.0094970604
E09000016,Havering,E09,22672,257810,.08794073,E09000016,2366,matched (3),.0091773011
E07000066,Basildon,E07,14587,185862,.078482963,E07000066,1704,matched (3),.0091680922
E07000069,Castle Point,E07,10271,90070,.11403353,E07000069,787,matched (3),.0087376488
E07000075,Rochford,E07,9113,86981,.10477,E07000075,729,matched (3),.0083811404
E06000035,Medway,E06,18803,277855,.067671984,E06000035,2297,matched (3),.0082669016
E09000026,Redbridge,E09,17561,303858,.057793442,E09000026,2418,matched (3),.0079576643
E07000062,Hastings,E07,7924,92855,.085337356,E07000062,709,matched (3),.0076355608
E09000002,Barking and Dagenham,E09,9228,211998,.043528713,E09000002,1589,matched (3),.0074953539
E07000105,Ashford,E07,11002,129281,.085101448,E07000105,945,matched (3),.0073096589
E07000113,Swale,E07,12027,148519,.080979541,E07000113,1068,matched (3),.0071909991
E09000004,Bexley,E09,20060,247258,.081129834,E09000004,1730,matched (3),.0069967401
E06000033,Southend-on-Sea,E06,16365,182463,.089689419,E06000033,1251,matched (3),.0068561845
E07000107,Dartford,E07,7318,109709,.066703737,E07000107,714,matched (3),.0065081259
E09000031,Waltham Forest,E09,13402,276700,.048435129,E09000031,1791,matched (3),.0064727142
E07000095,Broxbourne,E07,8322,96876,.08590363,E07000095,609,matched (3),.0062863869
E07000073,Harlow,E07,6371,86594,.073573224,E07000073,544,matched (3),.0062821903
E07000112,Folkestone and Hythe,E07,12187,112578,.10825383,E07000112,703,matched (3),.0062445593
E07000109,Gravesham,E07,8692,106385,.081703246,E07000109,661,matched (3),.0062132818
E09000025,Newham,E09,11138,352005,.031641595,E09000025,2149,matched (3),.0061050267
E09000030,Tower Hamlets,E09,8569,317705,.026971562,E09000030,1901,matched (3),.005983538
