year,congo_dr,japan,kenya,uk,uk_pred,uk_error,kenya_pred,kenya_error,japan_pred,japan_error,congo_dr_pred,congo_dr_error
1980,8372.4404,273862.69,2112.1899,915.04199,897.12982,17.91217,922.6767,1189.5132,338606.84,-64744.156,5574.3267,2798.1138
1981,8451.5195,285390.59,2198.79,908.70697,929.04645,-20.339478,1113.3823,1085.4077,344366.41,-58975.813,5720.4966,2731.0229
1982,8413.1104,294844,2309.8799,926.62097,960.96313,-34.342163,1304.088,1005.7919,350125.97,-55281.969,5866.6665,2546.4438
1983,8531.7305,305231.19,2346.6799,965.50897,992.87976,-27.370789,1494.7938,851.88611,355885.53,-50654.344,6012.8359,2518.8945
1984,8945.0498,318973,2384.23,987.16602,1024.7964,-37.630371,1685.4995,698.73047,361645.09,-42672.094,6159.0059,2786.0439
1985,8986.5703,335666,2481.3401,1027.87,1056.713,-28.843018,1876.2052,605.13489,367404.63,-31738.625,6305.1758,2681.3945
1986,9410.7598,346832.09,2654.5901,1060.26,1088.6296,-28.369629,2066.9109,587.6792,373164.19,-26332.094,6451.3457,2959.4141
1987,9662.1299,363239.5,2808.8401,1117.4301,1120.5464,-3.116333,2257.6165,551.22363,378923.75,-15684.25,6597.5156,3064.6143
1988,9707.0195,387885.41,2979.9199,1181.48,1152.463,29.016968,2448.3223,531.59766,384683.31,3202.0938,6743.6855,2963.334
1989,9584.7002,406729,3115.6299,1211.9399,1184.3796,27.560303,2639.0278,476.60205,390442.88,16286.125,6889.855,2694.8452
1990,8955.1504,426629.19,3244.4199,1220.83,1216.2963,4.5336914,2829.7336,414.68628,396202.44,30426.75,7036.0249,1919.1255
1991,8198.8398,441209.09,3287.8799,1207.36,1248.2129,-40.852905,3020.4395,267.44043,401961.97,39247.125,7182.1948,1016.645
1992,7341.1001,444950.69,3252.3601,1212.21,1280.1295,-67.919556,3211.145,41.215088,407721.53,37229.156,7328.3647,12.735352
1993,6352.3799,442646.41,3249.28,1242.4,1312.0463,-69.64624,3401.8508,-152.5708,413481.09,29165.313,7474.5347,-1122.1548
1994,5962.1001,446522.31,3331.52,1290.1801,1343.9629,-53.782837,3592.5564,-261.03638,419240.66,27281.656,7620.7041,-1658.604
1995,6126.79,458270.19,3474.3401,1322.84,1375.8795,-53.039551,3783.2622,-308.92212,425000.22,33269.969,7766.874,-1640.084
1996,6008.25,472631.91,3618.46,1355.8,1407.7961,-51.996094,3973.9678,-355.50781,430759.75,41872.156,7913.0439,-1904.7939
1997,5537.21,477269.5,3633.3301,1423.25,1439.7128,-16.462769,4164.6733,-531.34326,436519.31,40750.188,8059.2139,-2522.0039
1998,5322.6401,471206.59,3741.7,1476.03,1471.6294,4.4006348,4355.3794,-613.67944,442278.88,28927.719,8205.3838,-2882.7437
1999,5120.25,469633,3823.99,1524.66,1503.5461,21.113892,4546.085,-722.09497,448038.44,21594.563,8351.5537,-3231.3037
2000,4703.6699,482616.81,3837.26,1578.12,1535.4628,42.657227,4736.7905,-899.53052,453798,28818.813,8497.7236,-3794.0537
2001,4604.8799,484480.31,3989.9399,1621.21,1567.3794,53.830566,4927.4961,-937.55615,459557.56,24922.75,8643.8936,-4039.0137
2002,4740.6201,484683.41,4009.1399,1656.53,1599.296,57.234009,5118.2021,-1109.0623,465317.09,19366.313,8790.0625,-4049.4424
2003,5005.0498,492124.09,4127.3701,1711.5601,1631.2126,80.347412,5308.9077,-1181.5376,471076.66,21047.438,8936.2324,-3931.1826
