GDPpc,Bangladesh,India
1980,311.093,270.85
1981,322.318,274.483
1982,294.02,277.705
1983,277.489,295.94
1984,303.3,280.633
1985,317.511,302.233
1986,318.062,314.154
1987,339.17,344.731
1988,355.592,355.933
1989,378.07,349.917
1990,398.05,371.086
1991,402.354,305.574
1992,400.912,319.184
1993,395.867,302.884
1994,411.91,347.734
1995,450.133,375.175
1996,471.268,401.052
1997,479.354,416.255
1998,488.077,413.657
1999,491.461,441.928
2000,483.217,442.751
2001,480.724,450.357
2002,490.919,469.149
2003,532.343,544.143
2004,563.21,624.258
2005,572.014,710.489
2006,610.469,801.669
2007,668.54,1021.887
2008,760.65,992.519
2009,841.252,1094.95
2010,935.755,1347.519
2011,1032.313,1445.461
2012,1057.884,1429.322
2013,1176.16,1432.844
2014,1340.289,1553.884
2015,1495.538,1583.998
2016,1679.021,1707.509
2017,1839.755,1950.104
2018,1991.739,1966.255
2019,2154.227,2041.428
2020,2270.348,1907.043
2021,2497.741,2239.614
2022,2730.846,2347.448
2023,2651.738,2530.121
2024,2618.677,2694.738
2025,2734.098,2818.027
2026,2960.203,3051.301
2027,3107.714,3330.023
2028,3336.836,3637.641
2029,3622.499,3975.092
2030,3943.179,4345.822
2031,,4345.822
2032,,4345.822
2033,,4345.822
2034,,4345.822
2035,,4345.822
2036,,4345.822
2037,,4345.822
2038,,4345.822
2039,,4345.822
2040,,4345.822
2041,,4345.822
2042,,4345.822
2043,,4345.822
2044,,4345.822
2045,,4345.822
2046,,4345.822
2047,,4345.822
2048,,4345.822
2049,,4345.822
2050,,4345.822
