dateYear,value
2020,8.4
2019,8.9
2018,7.5
2017,8.4
2016,8.9
2015,8.5
2014,9.3
2013,9.8
2012,10.2
2011,10.2
2010,10.3
2009,9.9
2008,10.6
2007,11.1
2006,11.5
2005,12.3
2004,13.4
2003,13.4
2002,12.9
2001,13
2000,12.7
1999,13
1998,13
1997,13.1
1996,13.9
1995,13.7
1994,13.8
1993,14.3
1992,13.9
1991,13.6
1990,13.1
1989,12.8
1988,12.9
1987,12.7
1986,12.9
1985,13.4
1984,12
1983,12.2
1982,12.1
1981,11.9
1980,12
1979,11.2
1978,11.6
1977,10.4
1976,10.1
1975,9.6
1974,9
1973,8.4
1972,9.5
1971,5.9
1970,4.7
1969,4.1
1968,3.7
1967,3.5
1966,3.2
1965,3.1
1964,2.9
1963,2.7
1962,2.4
1961,2.1
1960,2
1959,2.1
1958,1.9
1957,2.1
1956,2.3
1955,2.4
1954,2.5
1953,2.7
1952,3
1951,2.6
1950,2.8
