dateYear,value
1969,2.64
1970,2.58
1971,2.58
1972,2.98
1973,3.40
1974,3.22
1975,2.92
1976,2.74
1977,2.63
1978,2.71
1979,2.96
1980,2.86
1981,2.74
1982,2.54
1983,2.68
1984,2.72
1985,2.70
1986,2.81
1987,2.93
1988,3.51
1989,3.63
1990,3.47
1991,3.42
1992,3.25
1993,3.22
1994,3.24
1995,3.16
1996,3.16
1997,3.24
1998,3.30
1999,3.41
2000,3.56
2001,3.68
2002,3.97
2003,4.59
2004,5.21
2005,5.04
2006,4.76
2007,4.93
2008,4.95
2009,4.84
2010,4.96
2011,4.88
2012,4.84
2013,4.79
2014,4.92
2015,4.85
2016,4.98
2017,5.15
2018,5.20
2019,5.13
2020,5.18
2021,5.40
