dateYear,value
2019,7.2
2018,7.7
2017,8
2016,8.3
2015,8.3
2014,8.6
2013,8.5
2012,9.3
2011,8.9
2010,8.8
2009,8.4
2008,8.6
2007,8.7
2006,8.9
2005,9.3
2004,10.3
2003,10.2
2002,9.7
2001,9.5
2000,10.3
1999,10.1
1998,10.3
1997,10.6
1996,10.9
1995,11
1994,11.4
1993,11.7
1992,12.2
1991,12.1
1990,13.1
1989,13.8
1988,13.9
1987,14
1986,13.9
1985,13.9
1984,14
1983,13.9
1982,13.8
1981,14.2
1980,14.9
1979,14.9
1978,14.9
1977,14.4
1976,14.5
1975,15.4
1974,15.5
1973,16.2
1972,17.3
1971,16.5
1970,17
1969,16.3
1968,16.8
1967,16
1966,16
1965,15.6
1964,15.2
1963,15
1962,14.9
1961,15
1960,15
1959,15
1958,15.1
1957,15.4
1956,15.8
1955,16.1
1954,15.4
1953,15.6
1952,15.9
1951,16.5
1950,16.4
1949,17.2
1948,18.3
1947,19.2
1946,18.9
1945,21
1944,16
1943,15.7
1942,19.3
1941,20.1
1940,23.6
1939,21.2
1938,17.6
1937,17.5
1936,17.4
1935,17.2
1934,16.9
1933,15.8
1932,15.3
1931,15.6
1930,15.8
1929,15.8
1928,15.4
1927,15.7
1926,14.3
1925,15.2
1924,15.3
1923,15.2
1922,15.7
1921,16.9
1920,20.3
1919,20.1
1918,16.9
1917,15.1
1916,16.2
1915,20.5
1914,15.9
1913,15.7
1912,15.6
1911,15.2
1910,15
1909,14.7
1908,15.1
1907,15.9
1906,15.7
1905,15.3
1904,15.3
1903,15.7
1902,15.9
1901,15.9
1900,16
1899,16.5
1898,16.2
1897,16
1896,15.8
1895,15
1894,15
1893,14.7
1892,15.4
1891,15.6
1890,15.5
1889,15
1888,14.5
1887,14.4
1886,14.2
1885,14.5
1884,15.2
1883,15.5
1882,15.5
1881,15.1
1880,14.9
1879,14.4
1878,15.2
1877,15.7
1876,16.6
1875,16.7
1874,17
1873,17.6
1872,17.4
1871,16.7
1870,16.1
1869,15.9
1868,16.1
1867,16.5
1866,17.5
1865,17.5
1864,17.3
1863,16.8
1862,16.1
