quote_date,price,year
199305,1.65,1993
201705,3.5999999,2017
199704,1.95,1997
200606,2.9000001,2006
200611,2.55,2006
199606,1.63,1996
201804,3.7,2018
199410,1.55,1994
200208,2,2002
200301,2.0999999,2003
200810,3.05,2008
201601,3.25,2016
200508,1.85,2005
201203,3.3499999,2012
200408,2.0999999,2004
201303,1.95,2013
201210,3.9000001,2012
199408,.88999999,1994
199606,.99000001,1996
199409,1.7,1994
199601,1.8,1996
199309,1.61,1993
199608,1.6799999,1996
200601,1.96,2006
201605,4.4000001,2016
199602,1.76,1996
200609,1.99,2006
201202,2.75,2012
201009,3.0999999,2010
199108,1.34,1991
199408,1.66,1994
200909,2.8,2009
200410,2.2,2004
202012,3.6500001,2020
201112,3.3,2011
199110,1.33,1991
200610,2.5999999,2006
200911,2.3499999,2009
200102,1.65,2001
199512,1.74,1995
202306,5.5,2023
199205,1.6,1992
200509,2.3499999,2005
201702,5.25,2017
202209,2.49,2022
201602,3.5,2016
201409,2.95,2014
199804,2.0799999,1998
199801,1.7,1998
200607,2.05,2006
199710,1.7,1997
200301,1.2,2003
200505,1.55,2005
200010,1.95,2000
200709,2.6500001,2007
199010,1.25,1990
202212,5,2022
199412,.99000001,1994
201804,3.75,2018
200101,2.0999999,2001
200812,3,2008
200407,2.2,2004
201205,2.8499999,2012
199706,1.6,1997
200703,2.1500001,2007
200904,3,2009
199705,2,1997
201101,3.3,2011
199501,1.4,1995
201503,2.1500001,2015
199411,1.6,1994
201411,4.0999999,2014
200003,1.29,2000
199912,2.05,1999
200309,2.0999999,2003
201412,3,2014
200612,2.5,2006
199910,2.0999999,1999
201306,1.95,2013
200705,2.4000001,2007
199601,1.35,1996
201104,3.25,2011
200503,2.2,2005
201901,3.49,2019
199111,1.36,1991
201104,2.3,2011
200004,1.9,2000
202205,6.5500002,2022
201805,4.5,2018
200809,1.85,2008
200611,2.8499999,2006
202110,5.6900001,2021
202301,1.6900001,2023
200006,.99000001,2000
199209,1.52,1992
199205,1.5599999,1992
200710,2.5999999,2007
200404,1.35,2004
199304,1.51,1993
201307,1.95,2013
199903,1.25,1999
199208,1.25,1992
200012,2.24,2000
200207,1.5,2002
199903,2,1999
199408,1.25,1994
200304,2,2003
201908,1.99,2019
199505,1.8,1995
201412,2.29,2014
201410,4.1999998,2014
200402,2.0999999,2004
200007,2.1500001,2000
199602,1.46,1996
200707,1.85,2007
198807,1.02,1988
200510,2.45,2005
200008,1,2000
199911,1.9,1999
199012,1.3200001,1990
201603,4,2016
198812,1.09,1988
200101,1.95,2001
200606,2.45,2006
202207,6.6999998,2022
200210,2.1500001,2002
200507,2.45,2005
199109,1.29,1991
200112,2.27,2001
199508,1.73,1995
201107,2.8,2011
200210,2,2002
199307,1.6,1993
199505,1.6,1995
200712,2.4000001,2007
199609,1.63,1996
