Date,y1,y3,y5,y10,y20
1979-01-01,,,,,
1979-01-02,11.45,12.27,12.56,12.62,12.48
1979-01-03,11.52,12.30,12.60,12.66,12.51
1979-01-04,11.52,12.24,12.56,12.64,12.50
1979-01-05,11.46,12.20,12.54,12.67,12.53
1979-01-08,11.38,12.14,12.50,12.65,12.52
1979-01-09,11.43,12.25,12.58,12.66,12.53
1979-01-10,11.46,12.28,12.61,12.72,12.57
1979-01-11,11.48,12.31,12.63,12.76,12.60
1979-01-12,11.54,12.32,12.65,12.84,12.67
1979-01-15,11.55,12.37,12.70,12.90,12.60
1979-01-16,11.53,12.38,12.70,12.87,12.59
1979-01-17,11.64,12.48,12.78,12.97,12.66
1979-01-18,11.62,12.48,12.79,13.05,12.46
1979-01-19,11.70,12.57,12.86,13.08,12.49
1979-01-22,11.84,12.76,13.02,13.27,12.59
1979-01-23,11.88,12.79,13.03,13.25,12.60
1979-01-24,12.15,13.03,13.20,13.35,12.75
1979-01-25,12.10,13.00,13.19,13.36,12.76
1979-01-26,12.04,12.95,13.15,13.29,12.71
1979-01-29,12.10,13.00,13.19,13.33,12.74
1979-01-30,12.08,12.97,13.19,13.40,12.80
1979-01-31,12.11,13.01,13.24,13.42,12.81
1979-02-01,12.15,13.04,13.29,13.49,12.85
1979-02-02,12.45,13.16,13.38,13.54,12.87
1979-02-05,12.45,13.18,13.41,13.62,12.89
1979-02-06,12.48,13.18,13.42,13.69,12.97
1979-02-07,12.68,13.31,13.52,13.75,12.95
1979-02-08,12.88,13.47,13.72,13.86,12.95
1979-02-09,12.67,13.40,13.70,13.85,12.93
1979-02-12,12.57,13.29,13.64,13.82,12.91
1979-02-13,12.42,13.23,13.58,13.74,12.85
1979-02-14,12.32,13.19,13.55,13.67,12.81
1979-02-15,12.26,13.19,13.56,13.74,12.87
1979-02-16,12.14,13.09,13.44,13.67,12.88
1979-02-19,11.65,12.58,13.08,13.56,12.95
1979-02-20,11.43,12.40,12.91,13.43,13.57
1979-02-21,11.44,12.39,12.88,13.43,13.54
1979-02-22,11.38,12.28,12.74,13.23,13.41
1979-02-23,11.34,12.17,12.62,13.02,12.97
1979-02-26,11.37,12.10,12.54,12.97,12.96
1979-02-27,10.98,11.49,11.94,12.61,12.81
1979-02-28,10.84,11.33,11.63,12.26,12.66
1979-03-01,11.12,11.65,11.89,12.34,12.62
1979-03-02,11.06,11.53,11.79,12.23,12.38
1979-03-05,10.96,11.23,11.40,11.92,12.29
1979-03-06,11.01,11.29,11.52,12.11,12.40
1979-03-07,10.73,11.09,11.34,11.99,12.39
1979-03-08,10.27,10.68,10.93,11.57,12.18
1979-03-09,10.39,10.82,10.98,11.54,12.18
1979-03-12,10.44,10.87,11.03,11.58,12.16
1979-03-13,10.50,10.91,11.10,11.69,12.11
1979-03-14,10.52,10.98,11.20,11.74,12.12
1979-03-15,10.83,11.31,11.50,11.99,12.26
1979-03-16,10.80,11.22,11.42,11.85,12.13
1979-03-19,10.79,11.15,11.38,11.86,12.20
1979-03-20,10.62,10.90,11.10,11.67,12.16
1979-03-21,10.60,10.85,11.05,11.61,12.11
1979-03-22,10.68,10.89,11.09,11.68,12.20
1979-03-23,10.47,10.74,10.94,11.51,12.02
1979-03-26,10.53,10.81,10.98,11.56,12.21
1979-03-27,10.46,10.61,10.73,11.22,11.97
1979-03-28,10.38,10.62,10.75,11.22,11.98
1979-03-29,10.27,10.41,10.47,10.93,11.64
1979-03-30,10.26,10.41,10.47,10.92,11.75
1979-04-02,9.99,10.13,10.29,10.89,11.66
1979-04-03,10.13,10.30,10.39,10.95,11.71
1979-04-04,10.26,10.41,10.51,11.10,11.79
1979-04-05,10.29,10.39,10.48,11.06,11.76
1979-04-06,10.19,10.30,10.43,11.06,11.82
1979-04-09,10.18,10.27,10.37,11.02,11.66
1979-04-10,10.04,10.18,10.28,10.91,11.49
1979-04-11,10.01,10.14,10.24,10.88,11.69
1979-04-12,10.05,10.20,10.47,11.07,11.65
1979-04-13,,,,,
1979-04-16,,,,,
1979-04-17,10.06,10.21,10.50,11.09,11.68
1979-04-18,10.25,10.38,10.65,11.25,11.79
1979-04-19,10.27,10.43,10.72,11.35,11.87
1979-04-20,10.24,10.43,10.71,11.28,11.91
1979-04-23,10.24,10.46,10.72,11.23,11.87
1979-04-24,10.18,10.34,10.63,11.20,11.87
1979-04-25,10.28,10.45,10.67,11.17,11.91
1979-04-26,10.30,10.45,10.68,11.19,11.93
1979-04-27,10.23,10.34,10.61,11.15,11.90
1979-04-30,10.05,10.08,10.45,11.10,11.88
1979-05-01,10.24,10.27,10.55,11.15,11.96
1979-05-02,10.23,10.22,10.47,11.05,11.91
1979-05-03,10.16,10.14,10.38,10.96,11.89
1979-05-04,10.18,10.13,10.29,10.81,11.81
1979-05-07,,,,,
1979-05-08,10.32,10.26,10.40,10.93,11.87
1979-05-09,10.54,10.45,10.57,11.10,11.96
1979-05-10,10.79,10.74,10.83,11.26,12.07
1979-05-11,10.78,10.69,10.81,11.24,12.08
1979-05-14,10.84,10.75,10.90,11.34,12.12
1979-05-15,10.96,10.87,11.00,11.38,12.15
1979-05-16,10.93,10.89,10.99,11.30,12.12
1979-05-17,11.01,10.86,10.96,11.25,12.10
1979-05-18,11.05,11.00,11.09,11.29,12.09
1979-05-21,11.11,11.09,11.20,11.41,12.24
1979-05-22,11.10,11.06,11.19,11.45,12.30
1979-05-23,10.92,10.91,11.04,11.28,12.20
1979-05-24,10.93,10.97,11.08,11.30,
1979-05-25,11.03,11.00,11.13,11.37,
1979-05-28,,,,,
1979-05-29,10.93,10.93,11.10,11.40,
1979-05-30,10.87,10.83,11.03,11.37,
1979-05-31,10.93,10.85,11.05,11.41,
1979-06-01,10.79,10.82,11.09,11.51,
1979-06-04,10.90,10.95,11.16,11.51,
1979-06-05,10.94,10.96,11.16,11.51,
1979-06-06,11.00,10.98,11.18,11.58,
1979-06-07,10.83,10.83,11.15,11.69,
1979-06-08,11.00,11.01,11.21,11.64,
1979-06-11,11.07,11.01,11.27,11.69,
1979-06-12,11.14,11.07,11.29,11.65,
1979-06-13,12.00,11.78,11.87,12.04,
1979-06-14,12.28,12.05,12.25,12.42,
1979-06-15,12.32,12.01,12.23,12.46,
1979-06-18,12.12,11.85,12.15,12.51,
1979-06-19,11.95,11.69,12.03,12.45,
1979-06-20,11.87,11.54,11.95,12.45,
1979-06-21,11.91,11.66,12.03,12.47,
1979-06-22,12.01,11.78,12.11,12.50,
