number,restbay,croyde,minehead,llangennith,kimmeridge,sennen,brighton,freshwatereast,freshwaterwest,marloes,westdale,restbay_low,restbay_high,croyde_low,croyde_high,minehead_low,minehead_high,llangennith_low,llangennith_high,kimmeridge_low,kimmeridge_high,sennen_low,sennen_high,brighton_low,brighton_high,freshwatereast_low,freshwatereast_high,freshwaterwest_low,freshwaterwest_high,marloes_low,marloes_high,westdale_low,westdale_high,date
0,4-6,4-6,1-2,3-5,4-6,6-10,1,0-1,4-6,4-6,4-6,4,6,4,6,1,2,3,5,4,6,6,10,1,,0,1,4,6,4,6,4,6,22 Feb 2021
1,3-5,4-6,1-2,3-5,3-5,6-9,1-2,0-1,3-5,4-6,3-5,3,5,4,6,1,2,3,5,3,5,6,9,1,2,0,1,3,5,4,6,3,5,22 Feb 2021
2,4-6,4-6,1-2,3-4,3-5,6-9,1-2,0-1,3-5,4-6,3-5,4,6,4,6,1,2,3,4,3,5,6,9,1,2,0,1,3,5,4,6,3,5,22 Feb 2021
3,3-5,4-6,1-2,3-4,3-5,6-9,1-2,1-2,3-5,3-5,3-5,3,5,4,6,1,2,3,4,3,5,6,9,1,2,1,2,3,5,3,5,3,5,22 Feb 2021
4,3-5,4-6,1,3-4,3-5,5-9,1-2,1-2,3-5,3-5,3-4,3,5,4,6,1,,3,4,3,5,5,9,1,2,1,2,3,5,3,5,3,4,22 Feb 2021
5,3-5,3-5,1,3-4,3-5,5-8,1-2,2,3-4,3-4,3-4,3,5,3,5,1,,3,4,3,5,5,8,1,2,2,,3,4,3,4,3,4,22 Feb 2021
6,3-5,3-5,1,3-4,3-5,5-7,1,2-3,3-4,3-4,3-4,3,5,3,5,1,,3,4,3,5,5,7,1,,2,3,3,4,3,4,3,4,22 Feb 2021
7,3-5,3-5,1,2-4,3-4,4-7,1,2-4,3-4,3-4,2-4,3,5,3,5,1,,2,4,3,4,4,7,1,,2,4,3,4,3,4,2,4,22 Feb 2021
8,3-4,3-4,1,2-3,3-4,4-6,1-2,2-4,3-4,3-5,2-4,3,4,3,4,1,,2,3,3,4,4,6,1,2,2,4,3,4,3,5,2,4,22 Feb 2021
9,3-4,2-3,1,2-3,3-4,3-5,1,2-4,3-5,5-8,4-6,3,4,2,3,1,,2,3,3,4,3,5,1,,2,4,3,5,5,8,4,6,22 Feb 2021
10,3-4,4-6,1,3-5,2-4,4-6,1,2-4,5-8,7-10,5-8,3,4,4,6,1,,3,5,2,4,4,6,1,,2,4,5,8,7,10,5,8,22 Feb 2021
11,5-7,5-7,1-2,5-7,3-5,4-6,1-2,2-4,6-10,8-12,7-10,5,7,5,7,1,2,5,7,3,5,4,6,1,2,2,4,6,10,8,12,7,10,22 Feb 2021
12,6-9,5-8,1-2,5-8,5-7,4-7,2-3,2-3,7-11,9-13,7-11,6,9,5,8,1,2,5,8,5,7,4,7,2,3,2,3,7,11,9,13,7,11,22 Feb 2021
13,6-9,5-8,1-2,6-9,5-8,4-7,2-4,2-3,7-11,9-14,7-11,6,9,5,8,1,2,6,9,5,8,4,7,2,4,2,3,7,11,9,14,7,11,22 Feb 2021
14,6-9,5-8,1-2,6-9,5-9,5-7,3-4,2-3,7-11,9-14,7-11,6,9,5,8,1,2,6,9,5,9,5,7,3,4,2,3,7,11,9,14,7,11,22 Feb 2021
15,6-9,5-8,1-2,6-9,6-9,8-13,3-4,2-3,7-11,9-14,7-12,6,9,5,8,1,2,6,9,6,9,8,13,3,4,2,3,7,11,9,14,7,12,22 Feb 2021
16,6-9,6-9,1-2,6-9,6-9,9-14,3-5,2-3,8-12,9-14,8-12,6,9,6,9,1,2,6,9,6,9,9,14,3,5,2,3,8,12,9,14,8,12,22 Feb 2021
17,6-10,6-9,2,6-9,10-16,10-14,3-5,2,8-12,9-14,8-12,6,10,6,9,2,,6,9,10,16,10,14,3,5,2,,8,12,9,14,8,12,22 Feb 2021
18,6-9,6-9,2-3,6-9,9-14,9-15,3-4,1-2,8-12,9-14,8-12,6,9,6,9,2,3,6,9,9,14,9,15,3,4,1,2,8,12,9,14,8,12,22 Feb 2021
19,6-9,7-12,2-3,5-8,9-14,9-14,3-4,1,7-11,8-13,7-12,6,9,7,12,2,3,5,8,9,14,9,14,3,4,1,,7,11,8,13,7,12,22 Feb 2021
20,7-11,7-11,2-3,5-8,9-14,8-13,3-4,1,7-11,10-14,8-13,7,11,7,11,2,3,5,8,9,14,8,13,3,4,1,,7,11,10,14,8,13,22 Feb 2021
21,7-10,7-11,2-3,5-8,9-13,8-12,2-4,1,7-11,9-15,8-13,7,10,7,11,2,3,5,8,9,13,8,12,2,4,1,,7,11,9,15,8,13,22 Feb 2021
22,7-11,7-11,2-3,5-9,8-13,7-12,2-4,1,6-9,8-12,7-11,7,11,7,11,2,3,5,9,8,13,7,12,2,4,1,,6,9,8,12,7,11,22 Feb 2021
23,6-9,6-9,2-3,4-7,8-12,7-11,2-3,0-1,5-8,5-8,5-9,6,9,6,9,2,3,4,7,8,12,7,11,2,3,0,1,5,8,5,8,5,9,22 Feb 2021
24,5-9,5-9,2,4-7,7-10,7-11,2-4,1,5-9,5-8,6-9,5,9,5,9,2,,4,7,7,10,7,11,2,4,1,,5,9,5,8,6,9,22 Feb 2021
25,5-8,5-8,2,4-7,6-10,7-11,2-3,1,5-8,5-7,5-8,5,8,5,8,2,,4,7,6,10,7,11,2,3,1,,5,8,5,7,5,8,22 Feb 2021
26,5-8,5-8,1-2,4-6,6-9,7-11,2-3,1,5-8,4-7,4-7,5,8,5,8,1,2,4,6,6,9,7,11,2,3,1,,5,8,4,7,4,7,22 Feb 2021
27,5-7,5-8,1-2,4-6,5-8,7-10,1-2,1,5-7,4-7,4-6,5,7,5,8,1,2,4,6,5,8,7,10,1,2,1,,5,7,4,7,4,6,22 Feb 2021
28,5-7,5-7,1-2,3-5,4-7,6-10,1-2,1-2,5-7,4-6,5-7,5,7,5,7,1,2,3,5,4,7,6,10,1,2,1,2,5,7,4,6,5,7,22 Feb 2021
29,5-7,5-7,1-2,3-5,4-6,6-10,1-2,,4-7,4-6,4-7,5,7,5,7,1,2,3,5,4,6,6,10,1,2,,,4,7,4,6,4,7,22 Feb 2021
30,4-7,4-7,1-2,3-5,4-6,6-9,1-2,,4-7,3-5,4-6,4,7,4,7,1,2,3,5,4,6,6,9,1,2,,,4,7,3,5,4,6,22 Feb 2021
31,4-6,4-6,1-2,3-5,3-5,6-9,1-2,,4-6,3-5,4-6,4,6,4,6,1,2,3,5,3,5,6,9,1,2,,,4,6,3,5,4,6,22 Feb 2021
32,4-6,4-6,1-2,3-5,4-6,5-8,1,,4-6,3-5,4-6,4,6,4,6,1,2,3,5,4,6,5,8,1,,,,4,6,3,5,4,6,22 Feb 2021
33,4-6,4-6,1,3-5,3-5,5-8,1-2,,4-6,3-5,4-5,4,6,4,6,1,,3,5,3,5,5,8,1,2,,,4,6,3,5,4,5,22 Feb 2021
34,4-6,3-5,1,3-4,3-5,5-7,1-2,,4-6,3-5,3-5,4,6,3,5,1,,3,4,3,5,5,7,1,2,,,4,6,3,5,3,5,22 Feb 2021
35,3-5,3-5,1,3-4,3-5,4-7,1-2,,3-5,3-5,3-5,3,5,3,5,1,,3,4,3,5,4,7,1,2,,,3,5,3,5,3,5,22 Feb 2021
36,3-5,3-5,1,3-4,3-4,4-7,1,,3-5,3-5,3-5,3,5,3,5,1,,3,4,3,4,4,7,1,,,,3,5,3,5,3,5,22 Feb 2021
37,3-5,3-5,1,3-4,3-4,4-6,1,,3-5,3-5,3-5,3,5,3,5,1,,3,4,3,4,4,6,1,,,,3,5,3,5,3,5,22 Feb 2021
38,3-5,3-5,1,3-4,3-4,4-6,1,,3-5,3-5,3-5,3,5,3,5,1,,3,4,3,4,4,6,1,,,,3,5,3,5,3,5,22 Feb 2021
39,3-5,3-4,1,3-4,2-4,4-6,1,,3-5,3-5,3-5,3,5,3,4,1,,3,4,2,4,4,6,1,,,,3,5,3,5,3,5,22 Feb 2021
40,3-5,3-4,1,3-4,2-4,6-9,1,,3-5,3-5,3-5,3,5,3,4,1,,3,4,2,4,6,9,1,,,,3,5,3,5,3,5,22 Feb 2021
41,3-5,3-5,1,3-4,2-4,7-11,1,,5-8,5-7,5-8,3,5,3,5,1,,3,4,2,4,7,11,1,,,,5,8,5,7,5,8,22 Feb 2021
42,5-7,5-8,1-2,4-6,2-3,7-11,1,,5-8,5-7,5-8,5,7,5,8,1,2,4,6,2,3,7,11,1,,,,5,8,5,7,5,8,22 Feb 2021
43,5-7,5-8,2,4-6,4-6,7-10,1,,5-8,5-7,5-8,5,7,5,8,2,,4,6,4,6,7,10,1,,,,5,8,5,7,5,8,22 Feb 2021
44,5-7,5-8,2,4-6,4-6,7-10,1,,5-8,5-8,5-8,5,7,5,8,2,,4,6,4,6,7,10,1,,,,5,8,5,8,5,8,22 Feb 2021
45,5-7,5-8,2,4-6,4-6,7-10,1,,5-8,5-8,5-8,5,7,5,8,2,,4,6,4,6,7,10,1,,,,5,8,5,8,5,8,22 Feb 2021
46,5-7,5-7,1-2,4-6,4-6,6-10,1,,5-8,5-7,5-8,5,7,5,7,1,2,4,6,4,6,6,10,1,,,,5,8,5,7,5,8,22 Feb 2021
47,4-7,5-7,1-2,4-6,4-6,6-10,1-2,,5-8,5-7,5-8,4,7,5,7,1,2,4,6,4,6,6,10,1,2,,,5,8,5,7,5,8,22 Feb 2021
48,4-7,4-7,1-2,3-5,4-6,6-9,1-2,,5-7,4-7,5-7,4,7,4,7,1,2,3,5,4,6,6,9,1,2,,,5,7,4,7,5,7,22 Feb 2021
49,4-6,4-7,1-2,3-5,3-5,6-9,1,,5-7,4-7,4-7,4,6,4,7,1,2,3,5,3,5,6,9,1,,,,5,7,4,7,4,7,22 Feb 2021
50,4-6,4-6,1-2,3-5,3-5,6-9,1,,4-7,4-6,4-7,4,6,4,6,1,2,3,5,3,5,6,9,1,,,,4,7,4,6,4,7,22 Feb 2021
