number,restbay,croyde,minehead,llangennith,kimmeridge,sennen,brighton,freshwatereast,freshwaterwest,marloes,westdale,restbay_low,restbay_high,croyde_low,croyde_high,minehead_low,minehead_high,llangennith_low,llangennith_high,kimmeridge_low,kimmeridge_high,sennen_low,sennen_high,brighton_low,brighton_high,freshwatereast_low,freshwatereast_high,freshwaterwest_low,freshwaterwest_high,marloes_low,marloes_high,westdale_low,westdale_high,days,date
1,8-13,8-12,4-5,7-10,9-14,10-16,3-5,0-1,8-13,8-12,9-13,8,13,8,12,4,5,7,10,9,14,10,16,3,5,0,1,8,13,8,12,9,13,.125,12 Mar 2021
2,9-14,8-13,2-3,7-11,9-14,10-16,3-5,0-1,9-14,8-12,9-14,9,14,8,13,2,3,7,11,9,14,10,16,3,5,0,1,9,14,8,12,9,14,.25,12 Mar 2021
3,7-11,7-11,2-4,6-9,6-10,10-16,4-6,1,7-11,6-10,7-12,7,11,7,11,2,4,6,9,6,10,10,16,4,6,1,,7,11,6,10,7,12,.375,12 Mar 2021
4,7-11,7-12,3-4,6-9,7-10,10-16,4-7,,8-12,7-11,8-12,7,11,7,12,3,4,6,9,7,10,10,16,4,7,,,8,12,7,11,8,12,.5,12 Mar 2021
5,7-12,7-11,3-4,6-9,6-10,9-15,4-6,,8-12,7-10,8-12,7,12,7,11,3,4,6,9,6,10,9,15,4,6,,,8,12,7,10,8,12,.625,12 Mar 2021
6,7-12,7-11,2-4,6-9,6-9,9-14,4-6,,7-12,7-10,7-12,7,12,7,11,2,4,6,9,6,9,9,14,4,6,,,7,12,7,10,7,12,.75,12 Mar 2021
7,7-11,7-11,2-3,5-8,6-9,9-14,4-6,,7-10,7-10,7-11,7,11,7,11,2,3,5,8,6,9,9,14,4,6,,,7,10,7,10,7,11,.875,12 Mar 2021
8,7-10,7-11,2-3,6-9,6-10,10-16,4-6,,7-11,7-11,8-12,7,10,7,11,2,3,6,9,6,10,10,16,4,6,,,7,11,7,11,8,12,1,12 Mar 2021
9,8-13,8-12,2-3,6-10,8-12,10-18,5-7,,9-13,8-13,9-14,8,13,8,12,2,3,6,10,8,12,10,18,5,7,,,9,13,8,13,9,14,1.125,12 Mar 2021
10,10-16,9-15,3-5,7-12,9-14,12-18,6-9,,10-16,8-13,10-16,10,16,9,15,3,5,7,12,9,14,12,18,6,9,,,10,16,8,13,10,16,1.25,12 Mar 2021
11,10-14,9-14,3-5,7-11,9-14,12-18,5-8,,9-14,8-12,9-14,10,14,9,14,3,5,7,11,9,14,12,18,5,8,,,9,14,8,12,9,14,1.375,12 Mar 2021
12,9-13,8-13,3-5,6-10,8-13,10-16,5-8,,8-13,8-12,9-14,9,13,8,13,3,5,6,10,8,13,10,16,5,8,,,8,13,8,12,9,14,1.5,12 Mar 2021
13,8-13,8-12,3-5,6-10,8-13,10-14,4-6,,8-12,7-11,8-13,8,13,8,12,3,5,6,10,8,13,10,14,4,6,,,8,12,7,11,8,13,1.625,12 Mar 2021
14,8-13,8-12,3-4,6-9,8-12,9-15,4-6,,8-12,6-10,8-12,8,13,8,12,3,4,6,9,8,12,9,15,4,6,,,8,12,6,10,8,12,1.75,12 Mar 2021
15,8-12,7-11,3-4,6-9,7-11,10-16,3-5,,8-12,6-9,8-12,8,12,7,11,3,4,6,9,7,11,10,16,3,5,,,8,12,6,9,8,12,1.875,12 Mar 2021
16,6-9,7-11,3-4,6-9,7-11,10-16,3-4,,7-11,6-9,7-11,6,9,7,11,3,4,6,9,7,11,10,16,3,4,,,7,11,6,9,7,11,2,12 Mar 2021
17,7-11,7-11,3-4,5-8,7-11,10-16,3-4,,7-11,5-8,7-11,7,11,7,11,3,4,5,8,7,11,10,16,3,4,,,7,11,5,8,7,11,2.125,12 Mar 2021
18,7-11,7-11,2-4,5-7,6-9,9-14,3-4,,6-10,4-6,7-10,7,11,7,11,2,4,5,7,6,9,9,14,3,4,,,6,10,4,6,7,10,2.25,12 Mar 2021
19,6-10,6-10,2-4,4-7,6-9,8-12,2-4,,6-9,3-5,6-9,6,10,6,10,2,4,4,7,6,9,8,12,2,4,,,6,9,3,5,6,9,2.375,12 Mar 2021
20,5-7,6-9,2-4,4-6,5-8,7-11,2-4,,4-6,3-5,4-6,5,7,6,9,2,4,4,6,5,8,7,11,2,4,,,4,6,3,5,4,6,2.5,12 Mar 2021
21,4-7,5-9,2-3,3-5,4-6,7-11,2-3,,4-6,4-6,5-8,4,7,5,9,2,3,3,5,4,6,7,11,2,3,,,4,6,4,6,5,8,2.625,12 Mar 2021
22,4-7,5-8,2-4,3-5,5-7,6-10,2-3,,3-5,3-5,4-6,4,7,5,8,2,4,3,5,5,7,6,10,2,3,,,3,5,3,5,4,6,2.75,12 Mar 2021
23,4-6,5-7,2-3,3-5,3-5,6-9,2-3,,4-6,3-5,3-5,4,6,5,7,2,3,3,5,3,5,6,9,2,3,,,4,6,3,5,3,5,2.875,12 Mar 2021
24,4-6,3-5,2-4,3-5,3-4,6-9,2-3,,3-5,3-5,3-5,4,6,3,5,2,4,3,5,3,4,6,9,2,3,,,3,5,3,5,3,5,3,12 Mar 2021
25,3-5,3-5,2-3,3-4,3-5,5-8,2-3,,3-5,3-5,3-5,3,5,3,5,2,3,3,4,3,5,5,8,2,3,,,3,5,3,5,3,5,3.125,12 Mar 2021
26,3-5,3-5,1-2,2-4,3-4,5-8,2-3,,3-4,3-4,3-4,3,5,3,5,1,2,2,4,3,4,5,8,2,3,,,3,4,3,4,3,4,3.25,12 Mar 2021
27,3-5,3-4,1-2,2-4,3-4,4-7,2-3,,3-4,2-4,2-4,3,5,3,4,1,2,2,4,3,4,4,7,2,3,,,3,4,2,4,2,4,3.375,12 Mar 2021
28,3-4,3-4,1-2,2-3,2-4,4-6,2,,2-4,2-3,2-4,3,4,3,4,1,2,2,3,2,4,4,6,2,,,,2,4,2,3,2,4,3.5,12 Mar 2021
29,3-4,2-4,1-2,2-3,2-3,4-6,1-2,,2-4,2-3,2-4,3,4,2,4,1,2,2,3,2,3,4,6,1,2,,,2,4,2,3,2,4,3.625,12 Mar 2021
30,2-4,2-4,1-2,2-3,2-3,3-5,1-2,,2-3,2-3,2-3,2,4,2,4,1,2,2,3,2,3,3,5,1,2,,,2,3,2,3,2,3,3.75,12 Mar 2021
31,2-4,2-3,1-2,2-3,2-3,3-5,1-2,,2-3,2-3,2-3,2,4,2,3,1,2,2,3,2,3,3,5,1,2,,,2,3,2,3,2,3,3.875,12 Mar 2021
32,2-3,2-4,1,2,2-3,3-5,1-2,,2-3,2-3,2-3,2,3,2,4,1,,2,,2,3,3,5,1,2,,,2,3,2,3,2,3,4,12 Mar 2021
33,2-3,2-4,1,1-2,2,3-4,1-2,,2-3,2,2-3,2,3,2,4,1,,1,2,2,,3,4,1,2,,,2,3,2,,2,3,4.125,12 Mar 2021
34,2-3,2-3,1,1-2,1-2,3-4,1,,2-3,1-2,2-3,2,3,2,3,1,,1,2,1,2,3,4,1,,,,2,3,1,2,2,3,4.25,12 Mar 2021
35,2-3,2-3,1,1-2,1-2,2-4,1,,1-2,1-2,1-2,2,3,2,3,1,,1,2,1,2,2,4,1,,,,1,2,1,2,1,2,4.375,12 Mar 2021
