Which of the following do you think are the most important issues facing the country at this time? Please tick up to three.,Health,Immigration & Asylum,Crime,The economy,Tax,Pensions,Education,Family life & childcare,Housing,The environment,Britain leaving the EU,Transport,Welfare benefits,Defence and security,None of these,Don't know,Afghanistan,Defence and Terrorism,Don't know / None of these,Unweighted base,Base
2011-02-15,0.31,0.47,0.23,0.78,0.21,0.16,0.18,0.08,0,0.07,0.08,0.05,0,0,0,0,0.1,0,0.02,2502,2502
2011-03-01,0.29,0.46,0.21,0.78,0.23,0.18,0.18,0.09,0,0.08,0.07,0.05,0,0,0,0,0.1,0,0.03,2104,2104
2011-03-15,0.29,0.46,0.18,0.77,0.21,0.27,0.16,0.07,0,0.08,0.07,0.05,0,0,0,0,0.09,0,0.03,2595,2595
2011-03-29,0.27,0.42,0.19,0.79,0.22,0.23,0.16,0.1,0,0.08,0.08,0.06,0,0,0,0,0.09,0,0.02,2198,2198
2011-04-12,0.37,0.43,0.21,0.75,0.19,0.19,0.16,0.09,0,0.08,0.07,0.05,0,0,0,0,0.09,0,0.03,2258,2258
2011-04-26,0.32,0.51,0.22,0.75,0.16,0.21,0.16,0.08,0,0.06,0.1,0.05,0,0,0,0,0.09,0,0.02,2617,2617
2011-05-10,0.37,0.48,0.21,0.75,0.15,0.17,0.17,0.08,0,0.08,0.09,0.04,0,0,0,0,0.09,0,0.03,2341,2363
2011-05-24,0.33,0.48,0.24,0.76,0.15,0.2,0.16,0.09,0,0.07,0.07,0.04,0,0,0,0,0.09,0,0.03,2442,2442
2011-06-07,0.35,0.51,0.23,0.76,0.14,0.21,0.16,0.08,0,0.07,0.07,0.03,0,0,0,0,0.1,0,0.03,2704,2704
2011-06-14,0.43,0.49,0.24,0.73,0.15,0.19,0.15,0.09,0,0.08,0.07,0.03,0,0,0,0,0.08,0,0.03,2706,2706
2011-06-21,0.36,0.46,0.21,0.74,0.13,0.34,0.13,0.07,0,0.08,0.09,0.03,0,0,0,0,0.09,0,0.02,2732,2732
2011-06-28,0.31,0.46,0.21,0.76,0.15,0.36,0.14,0.06,0,0.06,0.12,0.03,0,0,0,0,0.09,0,0.02,2573,2573
2011-07-05,0.29,0.48,0.2,0.73,0.13,0.38,0.15,0.07,0,0.07,0.11,0.03,0,0,0,0,0.08,0,0.03,2738,2738
2011-07-12,0.29,0.49,0.2,0.75,0.13,0.34,0.14,0.08,0,0.07,0.1,0.03,0,0,0,0,0.08,0,0.03,5226,5226
2011-07-19,0.28,0.48,0.21,0.77,0.14,0.29,0.14,0.07,0,0.07,0.14,0.03,0,0,0,0,0.1,0,0.03,2696,2696
2011-07-26,0.28,0.49,0.23,0.76,0.14,0.27,0.13,0.07,0,0.07,0.17,0.03,0,0,0,0,0.08,0,0.02,2615,2615
