year,region,basket_price,wage,cost
1997,East Anglia,190.7133319973946,7.8299999,24.356747
1998,East Anglia,204.6444701254368,8.1400003,25.140596
1999,East Anglia,201.5499997138977,8.4499998,23.852072
2000,East Anglia,201.8099994659424,8.6499996,23.330637
2001,East Anglia,235.8549990653992,9.1099997,25.889683
2002,East Anglia,248.8599972128868,9.54,26.085953
2003,East Anglia,255.5149995088577,9.8800001,25.861841
2004,East Anglia,219.9799981713295,10.22,21.524462
2005,East Anglia,232.7099978625774,10.37,22.440695
2006,East Anglia,235.2149996459484,10.88,21.619026
2007,East Anglia,236.0100023150444,11.09,21.281334
2008,East Anglia,263.2850004434586,11.52,22.854599
2009,East Anglia,264.980000436306,11.82,22.417936
2010,East Anglia,283.5099960565567,12.1,23.430578
2011,East Anglia,313.110003054142,12.17,25.72802
2012,East Anglia,367.1899989843369,12.28,29.901466
2013,East Anglia,336.0299985408783,12.73,26.396702
2014,East Anglia,329.0199974179268,12.59,26.133438
2015,East Anglia,356.4499981999397,12.77,27.913076
2016,East Anglia,362.6949989199638,13.17,27.539484
2017,East Anglia,338.8899989724159,13.59,24.936718
2018,East Anglia,343.1649999022484,13.84,24.795158
2019,East Anglia,334.3850011825562,14.42,23.188974
2020,East Anglia,367.4149995446205,14.37,25.568197
1997,East Midlands,184.983562707901,7.1599998,25.835693
1998,East Midlands,190.3715333342552,7.3600001,25.865698
1999,East Midlands,196.3700007796288,7.71,25.469521
2000,East Midlands,187.0099998116493,7.9099998,23.642225
2001,East Midlands,219.3300018012524,8.21,26.714981
2002,East Midlands,227.3599988222122,8.6499996,26.284393
2003,East Midlands,258.4749985337257,9.0699997,28.497795
2004,East Midlands,241.3699997663498,9.3199997,25.898069
2005,East Midlands,269.2149974107742,9.8199997,27.41497
2006,East Midlands,271.4099987745285,10.22,26.556751
2007,East Midlands,298.9699984788895,10.25,29.167805
2008,East Midlands,329.0199978947639,10.81,30.436632
2009,East Midlands,316.4699997901917,11.3,28.006195
2010,East Midlands,324.9299991726875,11.33,28.67873
2011,East Midlands,325.1699990034103,11.29,28.801594
2012,East Midlands,318.7549986243248,11.47,27.790321
2013,East Midlands,323.3149951100349,11.7,27.63376
2014,East Midlands,309.0249998569489,11.77,26.255308
2015,East Midlands,290.1549998521805,11.83,24.52705
2016,East Midlands,282.6299983263016,12.04,23.474253
2017,East Midlands,295.4799983501434,12.46,23.714285
2018,East Midlands,308.8949995040894,12.72,24.284197
2019,East Midlands,324.1999970078468,13.27,24.431046
2020,East Midlands,351.3700011372566,13.78,25.498549
1997,London,180.2633307874203,10.24,17.603842
1998,London,197.3908551037312,10.7,18.447744
1999,London,208.9849978685379,11.15,18.74305
2000,London,210.5500008165836,11.73,17.949703
2001,London,227.970000565052,12.4,18.384678
2002,London,218.8799995779991,13.07,16.746748
2003,London,243.3150014877319,13.54,17.970089
2004,London,242.1499999761581,13.92,17.395834
2005,London,239.9699983000755,14.45,16.60692
2006,London,249.4949980974197,14.79,16.869167
2007,London,269.4249983429909,15.25,17.667213
2008,London,309.8499975204468,15.79,19.623178
2009,London,321.2749965190887,16.389999,19.601892
2010,London,345.2699981331825,16.77,20.588551
2011,London,350.350002348423,16.959999,20.657431
2012,London,339.0000009536743,17.110001,19.812975
2013,London,344.6799992918968,17.16,20.086246
2014,London,346.6500002741814,17.25,20.095652
2015,London,342.1100001335144,17.129999,19.971395
2016,London,387.8849989175797,17.52,22.139555
2017,London,401.5849980115891,18.209999,22.052994
2018,London,382.1299981474876,18.68,20.456638
2019,London,399.5949985980988,19.34,20.661581
2020,London,401.04499822855,20.120001,19.932653
1997,North,186.6674230098724,7.25,25.747231
1998,North,176.4681159555912,7.3600001,23.976646
1999,North,200.3999990820885,7.6700001,26.127769
2000,North,198.190000385046,8,24.77375
2001,North,199.3550019264221,8.1700001,24.400856
2002,North,204.090000629425,8.4799995,24.067219
2003,North,201.9500015377998,8.6700001,23.292965
2004,North,220.2399998903275,9.1199999,24.149122
2005,North,218.0050012469292,9.5500002,22.827749
2006,North,208.6650029420853,9.9399996,20.992456
