description,type,name,region_s,year,price
APPLES -COOKING-PER LB,Food,Apples,London,1988,.36000001
APPLES -COOKING-PER LB,Food,Apples,South East,1988,.38999999
APPLES -COOKING-PER LB,Food,Apples,South West,1988,.38
APPLES -COOKING-PER LB,Food,Apples,East Anglia,1988,.34
APPLES -COOKING-PER LB,Food,Apples,East Midlands,1988,.37
APPLES -COOKING-PER LB,Food,Apples,West Midlands,1988,.38999999
APPLES -COOKING-PER LB,Food,Apples,Yorkshire & Humber,1988,.36000001
APPLES -COOKING-PER LB,Food,Apples,North West,1988,.38999999
APPLES -COOKING-PER LB,Food,Apples,North,1988,.36000001
APPLES -COOKING-PER LB,Food,Apples,Wales,1988,.41999999
APPLES -COOKING-PER LB,Food,Apples,Scotland,1988,.36000001
APPLES -COOKING-PER LB,Food,Apples,Northern Ireland,1988,.26499999
DRAUGHT BITTER (PER PINT),Drink,Bitter,London,1988,.98000002
DRAUGHT BITTER (PER PINT),Drink,Bitter,South East,1988,.98000002
DRAUGHT BITTER (PER PINT),Drink,Bitter,South West,1988,.92000002
DRAUGHT BITTER (PER PINT),Drink,Bitter,East Anglia,1988,.92000002
DRAUGHT BITTER (PER PINT),Drink,Bitter,East Midlands,1988,.88
DRAUGHT BITTER (PER PINT),Drink,Bitter,West Midlands,1988,.82999998
DRAUGHT BITTER (PER PINT),Drink,Bitter,Yorkshire & Humber,1988,.83999997
DRAUGHT BITTER (PER PINT),Drink,Bitter,North West,1988,.81999999
DRAUGHT BITTER (PER PINT),Drink,Bitter,North,1988,.86000001
DRAUGHT BITTER (PER PINT),Drink,Bitter,Wales,1988,.82999998
DRAUGHT BITTER (PER PINT),Drink,Bitter,Scotland,1988,.92000002
DRAUGHT BITTER (PER PINT),Drink,Bitter,Northern Ireland,1988,1
BOXED BOARD GAME: NOT TRAVEL,Gifts for Kids,Board game,London,1988,6.9899998
BOXED BOARD GAME: NOT TRAVEL,Gifts for Kids,Board game,South East,1988,6.9899998
BOXED BOARD GAME: NOT TRAVEL,Gifts for Kids,Board game,South West,1988,6.9899998
