description,type,name,year,region_s,price
APPLES-COOKING-PER KG,Food,Apples,1988,London,.7936632
APPLES-COOKING-PER KG,Food,Apples,1988,South East,.85980177
APPLES-COOKING-PER KG,Food,Apples,1988,South West,.83775556
APPLES-COOKING-PER KG,Food,Apples,1988,East Anglia,.74957079
APPLES-COOKING-PER KG,Food,Apples,1988,East Midlands,.81570941
APPLES-COOKING-PER KG,Food,Apples,1988,West Midlands,.85980177
APPLES-COOKING-PER KG,Food,Apples,1988,Yorkshire & Humber,.7936632
APPLES-COOKING-PER KG,Food,Apples,1988,North West,.85980177
APPLES-COOKING-PER KG,Food,Apples,1988,North,.7936632
APPLES-COOKING-PER KG,Food,Apples,1988,Wales,.92594039
APPLES-COOKING-PER KG,Food,Apples,1988,Scotland,.7936632
APPLES-COOKING-PER KG,Food,Apples,1988,Northern Ireland,.58422434
CHEDDAR-HOME PRODUCED PER KG,Food,Cheddar,1988,London,3.2848837
CHEDDAR-HOME PRODUCED PER KG,Food,Cheddar,1988,South East,3.0644217
CHEDDAR-HOME PRODUCED PER KG,Food,Cheddar,1988,South West,3.086468
CHEDDAR-HOME PRODUCED PER KG,Food,Cheddar,1988,East Anglia,3.2628376
CHEDDAR-HOME PRODUCED PER KG,Food,Cheddar,1988,East Midlands,2.9982831
CHEDDAR-HOME PRODUCED PER KG,Food,Cheddar,1988,West Midlands,2.9431677
CHEDDAR-HOME PRODUCED PER KG,Food,Cheddar,1988,Yorkshire & Humber,2.9321446
CHEDDAR-HOME PRODUCED PER KG,Food,Cheddar,1988,North West,2.9982831
CHEDDAR-HOME PRODUCED PER KG,Food,Cheddar,1988,North,2.8439598
CHEDDAR-HOME PRODUCED PER KG,Food,Cheddar,1988,Wales,3.1305604
CHEDDAR-HOME PRODUCED PER KG,Food,Cheddar,1988,Scotland,3.3069301
CHEDDAR-HOME PRODUCED PER KG,Food,Cheddar,1988,Northern Ireland,2.9762371
CREAM CRACKERS PACK 200G-300G,Food,Crackers,1988,London,.23999999
CREAM CRACKERS PACK 200G-300G,Food,Crackers,1988,South East,.23
CREAM CRACKERS PACK 200G-300G,Food,Crackers,1988,South West,.23
CREAM CRACKERS PACK 200G-300G,Food,Crackers,1988,East Anglia,.23
CREAM CRACKERS PACK 200G-300G,Food,Crackers,1988,East Midlands,.23
CREAM CRACKERS PACK 200G-300G,Food,Crackers,1988,West Midlands,.23
CREAM CRACKERS PACK 200G-300G,Food,Crackers,1988,Yorkshire & Humber,.23
CREAM CRACKERS PACK 200G-300G,Food,Crackers,1988,North West,.23
CREAM CRACKERS PACK 200G-300G,Food,Crackers,1988,North,.23
CREAM CRACKERS PACK 200G-300G,Food,Crackers,1988,Wales,.23
CREAM CRACKERS PACK 200G-300G,Food,Crackers,1988,Scotland,.22
CREAM CRACKERS PACK 200G-300G,Food,Crackers,1988,Northern Ireland,.25
INDIGESTION TABLETS 16-24 PACK,Food,Indigestion tablets,1988,London,.69
INDIGESTION TABLETS 16-24 PACK,Food,Indigestion tablets,1988,South East,.69
INDIGESTION TABLETS 16-24 PACK,Food,Indigestion tablets,1988,South West,.69
INDIGESTION TABLETS 16-24 PACK,Food,Indigestion tablets,1988,East Anglia,.69
INDIGESTION TABLETS 16-24 PACK,Food,Indigestion tablets,1988,East Midlands,.69
INDIGESTION TABLETS 16-24 PACK,Food,Indigestion tablets,1988,West Midlands,.69
INDIGESTION TABLETS 16-24 PACK,Food,Indigestion tablets,1988,Yorkshire & Humber,.69
INDIGESTION TABLETS 16-24 PACK,Food,Indigestion tablets,1988,North West,.69
INDIGESTION TABLETS 16-24 PACK,Food,Indigestion tablets,1988,North,.69
INDIGESTION TABLETS 16-24 PACK,Food,Indigestion tablets,1988,Wales,.69
INDIGESTION TABLETS 16-24 PACK,Food,Indigestion tablets,1988,Scotland,.69
INDIGESTION TABLETS 16-24 PACK,Food,Indigestion tablets,1988,Northern Ireland,.69
ORANGES-CLASS 1-EACH,Food,Oranges,1988,London,.16
ORANGES-CLASS 1-EACH,Food,Oranges,1988,South East,.16
ORANGES-CLASS 1-EACH,Food,Oranges,1988,South West,.16
ORANGES-CLASS 1-EACH,Food,Oranges,1988,East Anglia,.14
ORANGES-CLASS 1-EACH,Food,Oranges,1988,East Midlands,.15000001
ORANGES-CLASS 1-EACH,Food,Oranges,1988,West Midlands,.15000001
ORANGES-CLASS 1-EACH,Food,Oranges,1988,Yorkshire & Humber,.15000001
ORANGES-CLASS 1-EACH,Food,Oranges,1988,North West,.15000001
ORANGES-CLASS 1-EACH,Food,Oranges,1988,North,.18000001
ORANGES-CLASS 1-EACH,Food,Oranges,1988,Wales,.14
ORANGES-CLASS 1-EACH,Food,Oranges,1988,Scotland,.15000001
ORANGES-CLASS 1-EACH,Food,Oranges,1988,Northern Ireland,.2
VEGETABLE PICKLE 280-520G,Food,Pickle,1988,London,.55000001
VEGETABLE PICKLE 280-520G,Food,Pickle,1988,South East,.49000001
VEGETABLE PICKLE 280-520G,Food,Pickle,1988,South West,.49000001
VEGETABLE PICKLE 280-520G,Food,Pickle,1988,East Anglia,.49000001
VEGETABLE PICKLE 280-520G,Food,Pickle,1988,East Midlands,.49000001
VEGETABLE PICKLE 280-520G,Food,Pickle,1988,West Midlands,.49000001
VEGETABLE PICKLE 280-520G,Food,Pickle,1988,Yorkshire & Humber,.49000001
VEGETABLE PICKLE 280-520G,Food,Pickle,1988,North West,.47999999
VEGETABLE PICKLE 280-520G,Food,Pickle,1988,North,.49000001
VEGETABLE PICKLE 280-520G,Food,Pickle,1988,Wales,.49000001
VEGETABLE PICKLE 280-520G,Food,Pickle,1988,Scotland,.47
VEGETABLE PICKLE 280-520G,Food,Pickle,1988,Northern Ireland,.55000001
APPLES-COOKING-PER KG,Food,Apples,1989,London,.7936632
APPLES-COOKING-PER KG,Food,Apples,1989,South East,.7936632
APPLES-COOKING-PER KG,Food,Apples,1989,South West,.771617
APPLES-COOKING-PER KG,Food,Apples,1989,East Anglia,.74957079
APPLES-COOKING-PER KG,Food,Apples,1989,East Midlands,.771617
APPLES-COOKING-PER KG,Food,Apples,1989,West Midlands,.771617
APPLES-COOKING-PER KG,Food,Apples,1989,Yorkshire & Humber,.83775556
APPLES-COOKING-PER KG,Food,Apples,1989,North West,.7936632
APPLES-COOKING-PER KG,Food,Apples,1989,North,.66138601
APPLES-COOKING-PER KG,Food,Apples,1989,Wales,.7936632
APPLES-COOKING-PER KG,Food,Apples,1989,Scotland,.74957079
APPLES-COOKING-PER KG,Food,Apples,1989,Northern Ireland,.55115497
CHEDDAR-HOME PRODUCED PER KG,Food,Cheddar,1989,London,3.2848837
CHEDDAR-HOME PRODUCED PER KG,Food,Cheddar,1989,South East,3.1746528
CHEDDAR-HOME PRODUCED PER KG,Food,Cheddar,1989,South West,3.086468
CHEDDAR-HOME PRODUCED PER KG,Food,Cheddar,1989,East Anglia,3.2848837
CHEDDAR-HOME PRODUCED PER KG,Food,Cheddar,1989,East Midlands,3.1305604
CHEDDAR-HOME PRODUCED PER KG,Food,Cheddar,1989,West Midlands,3.086468
CHEDDAR-HOME PRODUCED PER KG,Food,Cheddar,1989,Yorkshire & Humber,2.9982831
CHEDDAR-HOME PRODUCED PER KG,Food,Cheddar,1989,North West,3.2407916
CHEDDAR-HOME PRODUCED PER KG,Food,Cheddar,1989,North,3.0644217
CHEDDAR-HOME PRODUCED PER KG,Food,Cheddar,1989,Wales,3.0644217
CHEDDAR-HOME PRODUCED PER KG,Food,Cheddar,1989,Scotland,3.5494382
CHEDDAR-HOME PRODUCED PER KG,Food,Cheddar,1989,Northern Ireland,3.2628376
CREAM CRACKERS PACK 200G-300G,Food,Crackers,1989,London,.20999999
CREAM CRACKERS PACK 200G-300G,Food,Crackers,1989,South East,.22
CREAM CRACKERS PACK 200G-300G,Food,Crackers,1989,South West,.23999999
CREAM CRACKERS PACK 200G-300G,Food,Crackers,1989,East Anglia,.23999999
CREAM CRACKERS PACK 200G-300G,Food,Crackers,1989,East Midlands,.23999999
CREAM CRACKERS PACK 200G-300G,Food,Crackers,1989,West Midlands,.23999999
CREAM CRACKERS PACK 200G-300G,Food,Crackers,1989,Yorkshire & Humber,.23999999
CREAM CRACKERS PACK 200G-300G,Food,Crackers,1989,North West,.23999999
CREAM CRACKERS PACK 200G-300G,Food,Crackers,1989,North,.23999999
CREAM CRACKERS PACK 200G-300G,Food,Crackers,1989,Wales,.23999999
CREAM CRACKERS PACK 200G-300G,Food,Crackers,1989,Scotland,.23999999
CREAM CRACKERS PACK 200G-300G,Food,Crackers,1989,Northern Ireland,.27000001
INDIGESTION TABLETS 16-24 PACK,Food,Indigestion tablets,1989,London,.75
INDIGESTION TABLETS 16-24 PACK,Food,Indigestion tablets,1989,South East,.75
INDIGESTION TABLETS 16-24 PACK,Food,Indigestion tablets,1989,South West,.75
INDIGESTION TABLETS 16-24 PACK,Food,Indigestion tablets,1989,East Anglia,.75
INDIGESTION TABLETS 16-24 PACK,Food,Indigestion tablets,1989,East Midlands,.75
INDIGESTION TABLETS 16-24 PACK,Food,Indigestion tablets,1989,West Midlands,.75
INDIGESTION TABLETS 16-24 PACK,Food,Indigestion tablets,1989,Yorkshire & Humber,.75
INDIGESTION TABLETS 16-24 PACK,Food,Indigestion tablets,1989,North West,.75
INDIGESTION TABLETS 16-24 PACK,Food,Indigestion tablets,1989,North,.75
INDIGESTION TABLETS 16-24 PACK,Food,Indigestion tablets,1989,Wales,.75
INDIGESTION TABLETS 16-24 PACK,Food,Indigestion tablets,1989,Scotland,.75
INDIGESTION TABLETS 16-24 PACK,Food,Indigestion tablets,1989,Northern Ireland,.75
ORANGES-CLASS 1-EACH,Food,Oranges,1989,London,.18000001
ORANGES-CLASS 1-EACH,Food,Oranges,1989,South East,.18000001
ORANGES-CLASS 1-EACH,Food,Oranges,1989,South West,.17
ORANGES-CLASS 1-EACH,Food,Oranges,1989,East Anglia,.18000001
ORANGES-CLASS 1-EACH,Food,Oranges,1989,East Midlands,.18000001
ORANGES-CLASS 1-EACH,Food,Oranges,1989,West Midlands,.18000001
ORANGES-CLASS 1-EACH,Food,Oranges,1989,Yorkshire & Humber,.15000001
ORANGES-CLASS 1-EACH,Food,Oranges,1989,North West,.2
ORANGES-CLASS 1-EACH,Food,Oranges,1989,North,.16
ORANGES-CLASS 1-EACH,Food,Oranges,1989,Wales,.2
ORANGES-CLASS 1-EACH,Food,Oranges,1989,Scotland,.14
ORANGES-CLASS 1-EACH,Food,Oranges,1989,Northern Ireland,.2
VEGETABLE PICKLE 280-520G,Food,Pickle,1989,London,.51999998
VEGETABLE PICKLE 280-520G,Food,Pickle,1989,South East,.49000001
VEGETABLE PICKLE 280-520G,Food,Pickle,1989,South West,.49000001
VEGETABLE PICKLE 280-520G,Food,Pickle,1989,East Anglia,.49000001
VEGETABLE PICKLE 280-520G,Food,Pickle,1989,East Midlands,.49000001
VEGETABLE PICKLE 280-520G,Food,Pickle,1989,West Midlands,.49000001
VEGETABLE PICKLE 280-520G,Food,Pickle,1989,Yorkshire & Humber,.51999998
VEGETABLE PICKLE 280-520G,Food,Pickle,1989,North West,.49000001
VEGETABLE PICKLE 280-520G,Food,Pickle,1989,North,.51999998
VEGETABLE PICKLE 280-520G,Food,Pickle,1989,Wales,.49000001
VEGETABLE PICKLE 280-520G,Food,Pickle,1989,Scotland,.49000001
VEGETABLE PICKLE 280-520G,Food,Pickle,1989,Northern Ireland,.55000001
APPLES-COOKING-PER KG,Food,Apples,1990,London,.90389419
