description,type,name,region_s,year,price
HOME KILLED LAMB-SHOULDER KG,Meat,Lamb shoulder,London,1988,2.425082
HOME KILLED LAMB-SHOULDER KG,Meat,Lamb shoulder,South East,1988,2.1605277
HOME KILLED LAMB-SHOULDER KG,Meat,Lamb shoulder,South West,1988,2.4030359
HOME KILLED LAMB-SHOULDER KG,Meat,Lamb shoulder,East Anglia,1988,2.425082
HOME KILLED LAMB-SHOULDER KG,Meat,Lamb shoulder,East Midlands,1988,2.4691744
HOME KILLED LAMB-SHOULDER KG,Meat,Lamb shoulder,West Midlands,1988,2.5132668
HOME KILLED LAMB-SHOULDER KG,Meat,Lamb shoulder,Yorkshire & Humber,1988,2.1825738
HOME KILLED LAMB-SHOULDER KG,Meat,Lamb shoulder,North West,1988,2.425082
HOME KILLED LAMB-SHOULDER KG,Meat,Lamb shoulder,North,1988,2.3368971
HOME KILLED LAMB-SHOULDER KG,Meat,Lamb shoulder,Wales,1988,2.1825738
HOME KILLED LAMB-SHOULDER KG,Meat,Lamb shoulder,Scotland,1988,3.1966991
HOME KILLED LAMB-SHOULDER KG,Meat,Lamb shoulder,Northern Ireland,1988,4.5194707
HOME KILLED PORK-LOIN CHOPS KG,Meat,Pork chops,London,1988,3.5053458
HOME KILLED PORK-LOIN CHOPS KG,Meat,Pork chops,South East,1988,3.0644217
HOME KILLED PORK-LOIN CHOPS KG,Meat,Pork chops,South West,1988,3.2848837
HOME KILLED PORK-LOIN CHOPS KG,Meat,Pork chops,East Anglia,1988,3.1746528
HOME KILLED PORK-LOIN CHOPS KG,Meat,Pork chops,East Midlands,1988,3.086468
HOME KILLED PORK-LOIN CHOPS KG,Meat,Pork chops,West Midlands,1988,3.1966991
HOME KILLED PORK-LOIN CHOPS KG,Meat,Pork chops,Yorkshire & Humber,1988,3.0644217
HOME KILLED PORK-LOIN CHOPS KG,Meat,Pork chops,North West,1988,3.1746528
HOME KILLED PORK-LOIN CHOPS KG,Meat,Pork chops,North,1988,3.3069301
