description,type,name,region_s,year,price
BOXED BOARD GAME: NOT TRAVEL,Presents,Board game,London,1988,6.9899998
BOXED BOARD GAME: NOT TRAVEL,Presents,Board game,South East,1988,6.9899998
BOXED BOARD GAME: NOT TRAVEL,Presents,Board game,South West,1988,6.9899998
BOXED BOARD GAME: NOT TRAVEL,Presents,Board game,East Anglia,1988,7.9899998
BOXED BOARD GAME: NOT TRAVEL,Presents,Board game,East Midlands,1988,6.9899998
BOXED BOARD GAME: NOT TRAVEL,Presents,Board game,West Midlands,1988,6.9899998
BOXED BOARD GAME: NOT TRAVEL,Presents,Board game,Yorkshire & Humber,1988,7.5
BOXED BOARD GAME: NOT TRAVEL,Presents,Board game,North West,1988,7.9499998
BOXED BOARD GAME: NOT TRAVEL,Presents,Board game,North,1988,6.9899998
BOXED BOARD GAME: NOT TRAVEL,Presents,Board game,Wales,1988,7.5
BOXED BOARD GAME: NOT TRAVEL,Presents,Board game,Scotland,1988,6.9899998
BOXED BOARD GAME: NOT TRAVEL,Presents,Board game,Northern Ireland,1988,7.8499999
5 CIGARS: SPECIFY BRAND,Presents,Cigars,London,1988,1.17
5 CIGARS: SPECIFY BRAND,Presents,Cigars,South East,1988,1.24
5 CIGARS: SPECIFY BRAND,Presents,Cigars,South West,1988,1.11
5 CIGARS: SPECIFY BRAND,Presents,Cigars,East Anglia,1988,1.17
5 CIGARS: SPECIFY BRAND,Presents,Cigars,East Midlands,1988,1.24
5 CIGARS: SPECIFY BRAND,Presents,Cigars,West Midlands,1988,1.09
5 CIGARS: SPECIFY BRAND,Presents,Cigars,Yorkshire & Humber,1988,1.23
5 CIGARS: SPECIFY BRAND,Presents,Cigars,North West,1988,1.23
5 CIGARS: SPECIFY BRAND,Presents,Cigars,North,1988,1.23
5 CIGARS: SPECIFY BRAND,Presents,Cigars,Wales,1988,1.235
5 CIGARS: SPECIFY BRAND,Presents,Cigars,Scotland,1988,1.13
5 CIGARS: SPECIFY BRAND,Presents,Cigars,Northern Ireland,1988,1.24
COAL-HOUSEHOLD BEST QUAL 50KG,Presents,Coal,London,1988,6.25
COAL-HOUSEHOLD BEST QUAL 50KG,Presents,Coal,South East,1988,6.3499999
COAL-HOUSEHOLD BEST QUAL 50KG,Presents,Coal,South West,1988,6.3000002
COAL-HOUSEHOLD BEST QUAL 50KG,Presents,Coal,East Anglia,1988,6.5
COAL-HOUSEHOLD BEST QUAL 50KG,Presents,Coal,East Midlands,1988,5.5999999
COAL-HOUSEHOLD BEST QUAL 50KG,Presents,Coal,West Midlands,1988,5.9000001
COAL-HOUSEHOLD BEST QUAL 50KG,Presents,Coal,Yorkshire & Humber,1988,5.1300001
COAL-HOUSEHOLD BEST QUAL 50KG,Presents,Coal,North West,1988,5.5
COAL-HOUSEHOLD BEST QUAL 50KG,Presents,Coal,North,1988,4.9499998
COAL-HOUSEHOLD BEST QUAL 50KG,Presents,Coal,Wales,1988,5.8000002
COAL-HOUSEHOLD BEST QUAL 50KG,Presents,Coal,Scotland,1988,5.5500002
